"chr"	"start"	"end"	"name"	"gieStain"
"NW_015090794.1"	"603133"	"621425"	"NATD1"	"gpos100"
"NW_015090794.1"	"971435"	"976977"	"LOC106884640"	"gpos100"
"NW_015090794.1"	"1154068"	"1177020"	"SREBF1"	"gpos100"
"NW_015090794.1"	"1277593"	"1288545"	"DRG2"	"gpos100"
"NW_015090794.1"	"1295418"	"1323279"	"MYO15A"	"gpos100"
"NW_015090794.1"	"1583992"	"1734258"	"CACNA1H"	"gpos100"
"NW_015090766.1"	"802093"	"849463"	"SLC28A3"	"gpos100"
"NW_015090794.1"	"2263435"	"2359987"	"LOC106884646"	"gpos100"
"NW_015090794.1"	"2366039"	"2489980"	"LOC106884647"	"gpos100"
"NW_015090794.1"	"2567304"	"2580672"	"CHTF18"	"gpos100"
"NW_015090794.1"	"2587407"	"2597573"	"LOC106884649"	"gpos100"
"NW_015090794.1"	"2684018"	"2692010"	"LOC106884650"	"gpos100"
"NW_015090794.1"	"2853264"	"2856159"	"MSRB1"	"gpos100"
"NW_015090794.1"	"2856561"	"2870179"	"LOC106884652"	"gpos100"
"NW_015090794.1"	"2944910"	"2969626"	"SYNGR3"	"gpos100"
"NW_015090794.1"	"3084203"	"3132944"	"TSC2"	"gpos100"
"NW_015090794.1"	"3327705"	"3385110"	"CASKIN1"	"gpos100"
"NW_015090794.1"	"3431967"	"3438188"	"BRICD5"	"gpos100"
"NW_015090794.1"	"3440475"	"3443634"	"PGP"	"gpos100"
"NW_015090794.1"	"3445092"	"3454321"	"E4F1"	"gpos100"
"NW_015090794.1"	"3479727"	"3510255"	"GRID2IP"	"gpos100"
"NW_015090794.1"	"3529404"	"3533511"	"TEX47"	"gpos100"
"NW_015090794.1"	"3641595"	"3772306"	"PRKCB"	"gpos100"
"NW_015090794.1"	"3814062"	"3824624"	"CACNG3"	"gpos100"
"NW_015090794.1"	"4009241"	"4013025"	"NDUFAB1"	"gpos100"
"NW_015090794.1"	"4013885"	"4025294"	"PALB2"	"gpos100"
"NW_015090794.1"	"4094726"	"4120988"	"GGA2"	"gpos100"
"NW_015090766.1"	"572639"	"580557"	"IDNK"	"gpos100"
"NW_015090794.1"	"4261984"	"4279535"	"HS3ST2"	"gpos100"
"NW_015090794.1"	"4364377"	"4436825"	"HS3ST4"	"gpos100"
"NW_015090794.1"	"4650280"	"4657011"	"KDM8"	"gpos100"
"NW_015090794.1"	"4896557"	"4912973"	"MOSMO"	"gpos100"
"NW_015090794.1"	"4932502"	"4937997"	"PDZD9"	"gpos100"
"NW_015090794.1"	"4971410"	"4981980"	"CRYM"	"gpos100"
"NW_015090794.1"	"4995064"	"5000976"	"ZP2"	"gpos100"
"NW_015090794.1"	"5008573"	"5009553"	"MCHR1"	"gpos100"
"NW_015090794.1"	"5016845"	"5079627"	"DNAH3"	"gpos100"
"NW_015090794.1"	"5142409"	"5147810"	"ERI2"	"gpos100"
"NW_015090794.1"	"5635794"	"5646855"	"ITPRIPL2"	"gpos100"
"NW_015090794.1"	"5660222"	"5703986"	"SYT17"	"gpos100"
"NW_015090794.1"	"5761591"	"5824811"	"SMG1"	"gpos100"
"NW_015090794.1"	"6025861"	"6179498"	"XYLT1"	"gpos100"
"NW_015090794.1"	"6993955"	"7122111"	"SNX29"	"gpos100"
"NW_015090794.1"	"7814711"	"7817068"	"LOC106884682"	"gpos100"
"NW_015090794.1"	"7958450"	"7970987"	"PLA2G10"	"gpos100"
"NW_015090766.1"	"3178703"	"3182906"	"LOC106884684"	"gpos100"
"NW_015090794.1"	"8063918"	"8140064"	"LOC106884685"	"gpos100"
"NW_015090794.1"	"8197972"	"8253196"	"LOC106884686"	"gpos100"
"NW_015090794.1"	"9251497"	"9252371"	"LOC106884687"	"gpos100"
"NW_015090794.1"	"11953984"	"11958025"	"SNRNP25"	"gpos100"
"NW_015090794.1"	"12158055"	"12183496"	"PGAP6"	"gpos100"
"NW_015090794.1"	"12299467"	"12303676"	"PDIA2"	"gpos100"
"NW_015090794.1"	"12543188"	"12550368"	"UBALD1"	"gpos100"
"NW_015090794.1"	"12551579"	"12557064"	"LOC106884692"	"gpos100"
"NW_015090794.1"	"12644050"	"12669874"	"TRAP1"	"gpos100"
"NW_015090794.1"	"12957098"	"12980396"	"TFAP4"	"gpos100"
"NW_015090794.1"	"12980395"	"12983983"	"GLIS2"	"gpos100"
"NW_015090794.1"	"13035718"	"13050788"	"DNAJA3"	"gpos100"
"NW_015090794.1"	"13056836"	"13078657"	"NLRC3"	"gpos100"
"NW_015090794.1"	"13225278"	"13297133"	"DNAAF8"	"gpos100"
"NW_015090794.1"	"399728"	"400815"	"LOC106884699"	"gpos100"
"NW_015090794.1"	"12467770"	"12469942"	"NUDT16L1"	"gpos100"
"NW_015090794.1"	"4046107"	"4058653"	"ERN2"	"gpos100"
"NW_015090794.1"	"4844358"	"4845352"	"LOC106884702"	"gpos100"
"NW_015090794.1"	"1458602"	"1476421"	"FAM83G"	"gpos100"
"NW_015090794.1"	"1443893"	"1486876"	"SLC5A10"	"gpos100"
"NW_015090794.1"	"12304238"	"12307667"	"ARHGDIG"	"gpos100"
"NW_015090794.1"	"72025"	"91774"	"FBXL18"	"gpos100"
"NW_015090794.1"	"97095"	"100429"	"ACTB"	"gpos100"
"NW_015090794.1"	"1258801"	"1265553"	"ATPAF2"	"gpos100"
"NW_015090794.1"	"1566412"	"1568765"	"B9D1"	"gpos100"
"NW_015090762.1"	"603303"	"608249"	"LOC106884710"	"gpos100"
"NW_015090794.1"	"1265754"	"1274437"	"GID4"	"gpos100"
"NW_015090794.1"	"2090761"	"2100421"	"SSTR5"	"gpos100"
"NW_015090794.1"	"5617099"	"5620643"	"COQ7"	"gpos100"
"NW_015090794.1"	"12311331"	"12322474"	"RGS11"	"gpos100"
"NW_015090794.1"	"6975661"	"6993876"	"TNFRSF17"	"gpos100"
"NW_015090794.1"	"1414502"	"1417683"	"LOC106884716"	"gpos100"
"NW_015090794.1"	"280582"	"289562"	"KPNA7"	"gpos100"
"NW_015090794.1"	"3397637"	"3405253"	"LOC106884718"	"gpos100"
"NW_015090794.1"	"5330744"	"5346880"	"GPR139"	"gpos100"
"NW_015090794.1"	"2608043"	"2638959"	"LOC106884720"	"gpos100"
"NW_015090766.1"	"2896068"	"2920201"	"SLC35D2"	"gpos100"
"NW_015090794.1"	"9103460"	"9197385"	"LOC106884722"	"gpos100"
"NW_015090794.1"	"12910235"	"12921209"	"LOC106884723"	"gpos100"
"NW_015090794.1"	"13190207"	"13197116"	"LOC106884724"	"gpos100"
"NW_015090794.1"	"13476900"	"13480167"	"NME4"	"gpos100"
"NW_015090794.1"	"2054890"	"2063327"	"C1QTNF8"	"gpos100"
"NW_015090794.1"	"12418096"	"12422999"	"LOC106884727"	"gpos100"
"NW_015090794.1"	"3281663"	"3282853"	"LOC106884728"	"gpos100"
"NW_015090794.1"	"4693617"	"4717387"	"IL21R"	"gpos100"
"NW_015090794.1"	"2003001"	"2016042"	"TEKT4"	"gpos100"
"NW_015090794.1"	"1487435"	"1493073"	"GRAP"	"gpos100"
"NW_015090794.1"	"4722567"	"4736496"	"LOC106884732"	"gpos100"
"NW_015090794.1"	"9690550"	"9707910"	"TMEM114"	"gpos100"
"NW_015090766.1"	"2920557"	"2928559"	"ZNF367"	"gpos100"
"NW_015090794.1"	"4984276"	"4989642"	"ANKS4B"	"gpos100"
"NW_015090794.1"	"2777809"	"2779214"	"HS3ST6"	"gpos100"
"NW_015090794.1"	"1242301"	"1257769"	"DRC3"	"gpos100"
"NW_015090794.1"	"2597464"	"2607051"	"LOC106884738"	"gpos100"
"NW_015090794.1"	"13051905"	"13057047"	"NMRAL1"	"gpos100"
"NW_015090794.1"	"2741283"	"2754174"	"MEIOB"	"gpos100"
"NW_015090794.1"	"2559994"	"2566956"	"GNG13"	"gpos100"
"NW_015090794.1"	"419980"	"426876"	"LOC106884742"	"gpos100"
"NW_015090794.1"	"13298390"	"13331443"	"LOC106884743"	"gpos100"
"NW_015090766.1"	"2938375"	"2963110"	"HABP4"	"gpos100"
"NW_015090794.1"	"5708977"	"5717153"	"CLEC19A"	"gpos100"
"NW_015090794.1"	"12368439"	"12370763"	"PERCC1"	"gpos100"
"NW_015090794.1"	"3617096"	"3622991"	"AQP8"	"gpos100"
"NW_015090794.1"	"9413380"	"9435170"	"LOC106884748"	"gpos100"
"NW_015090794.1"	"9517589"	"9529239"	"LOC106884749"	"gpos100"
"NW_015090794.1"	"8620318"	"8633196"	"ATF7IP2"	"gpos100"
"NW_015090794.1"	"11751028"	"11761892"	"IL20RB"	"gpos100"
"NW_015090794.1"	"790012"	"795794"	"TNFRSF13B"	"gpos100"
"NW_015090794.1"	"4588858"	"4624040"	"LOC106884753"	"gpos100"
"NW_015090794.1"	"9039089"	"9042457"	"LOC106884754"	"gpos100"
"NW_015090794.1"	"811080"	"885654"	"MPRIP"	"gpos100"
"NW_015090794.1"	"896615"	"900341"	"PLD6"	"gpos100"
"NW_015090794.1"	"899628"	"914170"	"FLCN"	"gpos100"
"NW_015090794.1"	"2698091"	"2715579"	"CIAO3"	"gpos100"
"NW_015090766.1"	"938629"	"1151131"	"NTRK2"	"gpos100"
"NW_015090794.1"	"2723657"	"2736927"	"HAGH"	"gpos100"
"NW_015090794.1"	"2715424"	"2721550"	"LOC106884761"	"gpos100"
"NW_015090766.1"	"734987"	"739605"	"RMI1"	"gpos100"
"NW_015090794.1"	"2737988"	"2739268"	"FAHD1"	"gpos100"
"NW_015090794.1"	"7994079"	"8022169"	"ZC3H7A"	"gpos100"
"NW_015090794.1"	"8022651"	"8053429"	"TXNDC11"	"gpos100"
"NW_015090794.1"	"8054038"	"8063871"	"SNN"	"gpos100"
"NW_015090794.1"	"6599655"	"6655838"	"LOC106884767"	"gpos100"
"NW_015090766.1"	"709154"	"729361"	"HNRNPK"	"gpos100"
"NW_015090794.1"	"6556956"	"6583740"	"LOC106884769"	"gpos100"
"NW_015090794.1"	"6595986"	"6597275"	"LOC106884770"	"gpos100"
"NW_015090794.1"	"6584125"	"6611467"	"LOC106884771"	"gpos100"
"NW_015090794.1"	"6587984"	"6589413"	"LOC106884772"	"gpos100"
"NW_015090794.1"	"12821113"	"12909676"	"ADCY9"	"gpos100"
"NW_015090794.1"	"3533640"	"3587021"	"ARHGAP17"	"gpos100"
"NW_015090794.1"	"3512695"	"3529275"	"SLC5A11"	"gpos100"
"NW_015090794.1"	"1380437"	"1398956"	"TOP3A"	"gpos100"
"NW_015090794.1"	"1394386"	"1403027"	"SMCR8"	"gpos100"
"NW_015090794.1"	"1374940"	"1379270"	"MIEF2"	"gpos100"
"NW_015090794.1"	"1384007"	"1387882"	"LOC106884779"	"gpos100"
"NW_015090794.1"	"1407314"	"1414184"	"SHMT1"	"gpos100"
"NW_015090794.1"	"3855980"	"3887598"	"RBBP6"	"gpos100"
"NW_015090762.1"	"610873"	"619008"	"TBC1D10A"	"gpos100"
"NW_015090794.1"	"9604816"	"9659443"	"ABAT"	"gpos100"
"NW_015090794.1"	"9635778"	"9687887"	"METTL22"	"gpos100"
"NW_015090794.1"	"9602057"	"9603669"	"LOC106884785"	"gpos100"
"NW_015090794.1"	"9598612"	"9601535"	"TMEM186"	"gpos100"
"NW_015090794.1"	"9603717"	"9605126"	"LOC106884787"	"gpos100"
"NW_015090794.1"	"6772862"	"6798897"	"MARF1"	"gpos100"
"NW_015090794.1"	"6803240"	"6855501"	"BMERB1"	"gpos100"
"NW_015090794.1"	"4672113"	"4689343"	"IL4R"	"gpos100"
"NW_015090794.1"	"4656614"	"4672422"	"NSMCE1"	"gpos100"
"NW_015090794.1"	"7730416"	"7809904"	"MRTFB"	"gpos100"
"NW_015090794.1"	"7788603"	"7789155"	"LOC106884793"	"gpos100"
"NW_015090794.1"	"3133396"	"3232009"	"PKD1"	"gpos100"
"NW_015090794.1"	"3945463"	"3999354"	"TNRC6A"	"gpos100"
"NW_015090794.1"	"3998862"	"3999822"	"LOC106884796"	"gpos100"
"NW_015090794.1"	"12114780"	"12115562"	"LOC106884797"	"gpos100"
"NW_015090794.1"	"12121198"	"12122027"	"LOC106884798"	"gpos100"
"NW_015090794.1"	"2885712"	"2888672"	"LOC106884799"	"gpos100"
"NW_015090794.1"	"2883161"	"2885339"	"LOC106884800"	"gpos100"
"NW_015090794.1"	"2880637"	"2882731"	"NDUFB10"	"gpos100"
"NW_015090794.1"	"2868621"	"2879084"	"RPL3L"	"gpos100"
"NW_015090794.1"	"3283131"	"3327324"	"TRAF7"	"gpos100"
