"GID","TXID","PROTID"
106888168,"XM_014942203.1","XP_014797689.1"
106898925,"XM_014960526.1","XP_014816012.1"
106891203,"XM_014947579.1","XP_014803065.1"
106886509,"XM_014939521.1","XP_014795007.1"
106886509,"XM_014939528.1","XP_014795014.1"
106886509,"XM_014939553.1","XP_014795039.1"
106886509,"XM_014939613.1","XP_014795099.1"
106886509,"XM_014939598.1","XP_014795084.1"
106886509,"XM_014939545.1","XP_014795031.1"
106886509,"XM_014939605.1","XP_014795091.1"
106886509,"XM_014939537.1","XP_014795023.1"
106886509,"XM_014939567.1","XP_014795053.1"
106886509,"XM_014939585.1","XP_014795071.1"
106886509,"XM_014939558.1","XP_014795044.1"
106886509,"XM_014939575.1","XP_014795061.1"
106886509,"XM_014939591.1","XP_014795077.1"
106887980,"XM_014942119.1","XP_014797605.1"
106887980,"XM_014942029.1","XP_014797515.1"
106887980,"XM_014942113.1","XP_014797599.1"
106887980,"XM_014942020.1","XP_014797506.1"
106887980,"XM_014941952.1","XP_014797438.1"
106887980,"XM_014942129.1","XP_014797615.1"
106887980,"XM_014942096.1","XP_014797582.1"
106887980,"XM_014941897.1","XP_014797383.1"
106887980,"XM_014942105.1","XP_014797591.1"
106887980,"XM_014942011.1","XP_014797497.1"
106887980,"XM_014941929.1","XP_014797415.1"
106887980,"XM_014941878.1","XP_014797364.1"
106887980,"XM_014942000.1","XP_014797486.1"
106887980,"XM_014942079.1","XP_014797565.1"
106887980,"XM_014941972.1","XP_014797458.1"
106887980,"XM_014942089.1","XP_014797575.1"
106887980,"XM_014941963.1","XP_014797449.1"
106887980,"XM_014942123.1","XP_014797609.1"
106887980,"XM_014941938.1","XP_014797424.1"
106887980,"XM_014941913.1","XP_014797399.1"
106887980,"XM_014941991.1","XP_014797477.1"
106887980,"XM_014941981.1","XP_014797467.1"
106887980,"XM_014941943.1","XP_014797429.1"
106887980,"XM_014941921.1","XP_014797407.1"
106887980,"XM_014941888.1","XP_014797374.1"
106887980,"XM_014941868.1","XP_014797354.1"
106887980,"XM_014941904.1","XP_014797390.1"
106887980,"XM_014941859.1","XP_014797345.1"
106887980,"XM_014942072.1","XP_014797558.1"
106887980,"XM_014942046.1","XP_014797532.1"
106887980,"XM_014942055.1","XP_014797541.1"
106887980,"XM_014942064.1","XP_014797550.1"
106887980,"XM_014942037.1","XP_014797523.1"
106887980,"XM_014942136.1","XP_014797622.1"
106899221,"XM_014960952.1","XP_014816438.1"
106899221,"XR_001414026.1",""
106899221,"XR_001414025.1",""
106899221,"XR_001414024.1",""
106899221,"XM_014960951.1","XP_014816437.1"
106897067,"XM_014957447.1","XP_014812933.1"
106897067,"XM_014957448.1","XP_014812934.1"
106897067,"XM_014957446.1","XP_014812932.1"
106886224,"XM_014938955.1","XP_014794441.1"
106888905,"XM_014943440.1","XP_014798926.1"
106888905,"XM_014943442.1","XP_014798928.1"
106888905,"XM_014943443.1","XP_014798929.1"
106891171,"XM_014947504.1","XP_014802990.1"
106886692,"XM_014939838.1","XP_014795324.1"
106889056,"XM_014943734.1","XP_014799220.1"
106889056,"XM_014943720.1","XP_014799206.1"
106889056,"XM_014943728.1","XP_014799214.1"
106889056,"XM_014943743.1","XP_014799229.1"
106898830,"XM_014960327.1","XP_014815813.1"
106887679,"XM_014941346.1","XP_014796832.1"
106884921,"XM_014936685.1","XP_014792171.1"
106884921,"XM_014936684.1","XP_014792170.1"
106890318,"XM_014946062.1","XP_014801548.1"
106895951,"XM_014955632.1","XP_014811118.1"
106886107,"XM_014938777.1","XP_014794263.1"
106886107,"XM_014938776.1","XP_014794262.1"
106886107,"XM_014938778.1","XP_014794264.1"
106886601,"XM_014939678.1","XP_014795164.1"
106886601,"XM_014939679.1","XP_014795165.1"
106885689,"XM_014938059.1","XP_014793545.1"
106890222,"XM_014945853.1","XP_014801339.1"
106886620,"XM_014939709.1","XP_014795195.1"
106886620,"XM_014939708.1","XP_014795194.1"
106890859,"XM_014946930.1","XP_014802416.1"
106890859,"XM_014946931.1","XP_014802417.1"
106895550,"XM_014954988.1","XP_014810474.1"
106893066,"XM_014950668.1","XP_014806154.1"
106888895,"XM_014943418.1","XP_014798904.1"
106892361,"XM_014949512.1","XP_014804998.1"
106898774,"XM_014960214.1","XP_014815700.1"
106889197,"XM_014943988.1","XP_014799474.1"
106896927,"XM_014957243.1","XP_014812729.1"
106896927,"XM_014957242.1","XP_014812728.1"
106884852,"XM_014936552.1","XP_014792038.1"
106884852,"XM_014936554.1","XP_014792040.1"
106884852,"XM_014936551.1","XP_014792037.1"
106884852,"XM_014936553.1","XP_014792039.1"
106884745,"XM_014936283.1","XP_014791769.1"
106888206,"XM_014942242.1","XP_014797728.1"
106892685,"XM_014950065.1","XP_014805551.1"
106892685,"XM_014950066.1","XP_014805552.1"
106892685,"XM_014950067.1","XP_014805553.1"
106892685,"XM_014950064.1","XP_014805550.1"
106892685,"XM_014950063.1","XP_014805549.1"
106892499,"XM_014949723.1","XP_014805209.1"
106891825,"XM_014948606.1","XP_014804092.1"
106897543,"XM_014958236.1","XP_014813722.1"
106897543,"XM_014958234.1","XP_014813720.1"
106897543,"XM_014958235.1","XP_014813721.1"
106885629,"XM_014937977.1","XP_014793463.1"
106891538,"XM_014948171.1","XP_014803657.1"
106900786,"XM_014962927.1","XP_014818413.1"
106894572,"XM_014953312.1","XP_014808798.1"
106894572,"XM_014953313.1","XP_014808799.1"
106893306,"XM_014951185.1","XP_014806671.1"
106893306,"XM_014951181.1","XP_014806667.1"
106893306,"XM_014951180.1","XP_014806666.1"
106893306,"XM_014951179.1","XP_014806665.1"
106893306,"XM_014951186.1","XP_014806672.1"
106893306,"XM_014951183.1","XP_014806669.1"
106893306,"XM_014951182.1","XP_014806668.1"
106893306,"XM_014951187.1","XP_014806673.1"
106895146,"XM_014954291.1","XP_014809777.1"
106899480,"XM_014961318.1","XP_014816804.1"
106899480,"XM_014961319.1","XP_014816805.1"
106899480,"XM_014961320.1","XP_014816806.1"
106899243,"XM_014960988.1","XP_014816474.1"
106899243,"XM_014960986.1","XP_014816472.1"
106899243,"XM_014960987.1","XP_014816473.1"
106891493,"XM_014948080.1","XP_014803566.1"
106891493,"XM_014948081.1","XP_014803567.1"
106891493,"XM_014948082.1","XP_014803568.1"
106897051,"XM_014957419.1","XP_014812905.1"
106886785,"XM_014939999.1","XP_014795485.1"
106898538,"XM_014959838.1","XP_014815324.1"
106892073,"XM_014948980.1","XP_014804466.1"
106892073,"XM_014948979.1","XP_014804465.1"
106902866,"XM_014966693.1","XP_014822179.1"
106890967,"XM_014947112.1","XP_014802598.1"
106890027,"XM_014945566.1","XP_014801052.1"
106890027,"XM_014945568.1","XP_014801054.1"
106890027,"XM_014945569.1","XP_014801055.1"
106890027,"XM_014945564.1","XP_014801050.1"
106890027,"XM_014945567.1","XP_014801053.1"
106890027,"XM_014945565.1","XP_014801051.1"
106890027,"XM_014945570.1","XP_014801056.1"
106887200,"XM_014940631.1","XP_014796117.1"
106894773,"XM_014953641.1","XP_014809127.1"
106894773,"XM_014953642.1","XP_014809128.1"
106899217,"XM_014960947.1","XP_014816433.1"
106886036,"XM_014938656.1","XP_014794142.1"
106890356,"XM_014946119.1","XP_014801605.1"
106890356,"XM_014946118.1","XP_014801604.1"
106890356,"XM_014946120.1","XP_014801606.1"
106890356,"XM_014946121.1","XP_014801607.1"
106890223,"XM_014945855.1","XP_014801341.1"
106885157,"XM_014937091.1","XP_014792577.1"
106889824,"XM_014945245.1","XP_014800731.1"
106890519,"XM_014946407.1","XP_014801893.1"
106887732,"XM_014941441.1","XP_014796927.1"
106887732,"XM_014941443.1","XP_014796929.1"
106887732,"XM_014941442.1","XP_014796928.1"
106899021,"XM_014960649.1","XP_014816135.1"
106896887,"XM_014957161.1","XP_014812647.1"
106894839,"XM_014953795.1","XP_014809281.1"
106894839,"XM_014953797.1","XP_014809283.1"
106894839,"XM_014953796.1","XP_014809282.1"
106894839,"XM_014953800.1","XP_014809286.1"
106894839,"XM_014953798.1","XP_014809284.1"
106891571,"XM_014948219.1","XP_014803705.1"
106894499,"XM_014953158.1","XP_014808644.1"
106894499,"XM_014953159.1","XP_014808645.1"
106898761,"XM_014960198.1","XP_014815684.1"
106900659,"XM_014962793.1","XP_014818279.1"
106884625,"XM_014936141.1","XP_014791627.1"
106884625,"XM_014936142.1","XP_014791628.1"
106884625,"XM_014936140.1","XP_014791626.1"
106884625,"XM_014936138.1","XP_014791624.1"
106899283,"XM_014961077.1","XP_014816563.1"
106885952,"XM_014938475.1","XP_014793961.1"
106886572,"XM_014939631.1","XP_014795117.1"
106902716,"XM_014966448.1","XP_014821934.1"
106886966,"XM_014940283.1","XP_014795769.1"
106886966,"XM_014940282.1","XP_014795768.1"
106889253,"XM_014944090.1","XP_014799576.1"
106898358,"XM_014959569.1","XP_014815055.1"
106885517,"XM_014937757.1","XP_014793243.1"
106888395,"XM_014942600.1","XP_014798086.1"
106888395,"XM_014942603.1","XP_014798089.1"
106888395,"XM_014942602.1","XP_014798088.1"
106895612,"XM_014955118.1","XP_014810604.1"
106895612,"XM_014955120.1","XP_014810606.1"
106895612,"XM_014955122.1","XP_014810608.1"
106895612,"XM_014955119.1","XP_014810605.1"
106895612,"XM_014955117.1","XP_014810603.1"
106888116,"XM_014942143.1","XP_014797629.1"
106899045,"XM_014960743.1","XP_014816229.1"
106899045,"XM_014960713.1","XP_014816199.1"
106899045,"XM_014960721.1","XP_014816207.1"
106899045,"XM_014960705.1","XP_014816191.1"
106899045,"XM_014960730.1","XP_014816216.1"
106899045,"XM_014960736.1","XP_014816222.1"
106895016,"XM_014954094.1","XP_014809580.1"
106895016,"XM_014954093.1","XP_014809579.1"
106895016,"XM_014954095.1","XP_014809581.1"
106886468,"XM_014939457.1","XP_014794943.1"
106896617,"XM_014956735.1","XP_014812221.1"
106891066,"XM_014947307.1","XP_014802793.1"
106888084,"XM_014942106.1","XP_014797592.1"
106888276,"XM_014942393.1","XP_014797879.1"
106885513,"XM_014937754.1","XP_014793240.1"
106885514,"XM_014937755.1","XP_014793241.1"
106885460,"XM_014937674.1","XP_014793160.1"
106893292,"XM_014951147.1","XP_014806633.1"
106899102,"XM_014960776.1","XP_014816262.1"
106901896,"XM_014964938.1","XP_014820424.1"
106893591,"XM_014951684.1","XP_014807170.1"
106893591,"XM_014951683.1","XP_014807169.1"
106893591,"XM_014951686.1","XP_014807172.1"
106893591,"XM_014951685.1","XP_014807171.1"
106893591,"XM_014951688.1","XP_014807174.1"
106885947,"XM_014938471.1","XP_014793957.1"
106886087,"XM_014938753.1","XP_014794239.1"
106888153,"XM_014942192.1","XP_014797678.1"
106895135,"XM_014954274.1","XP_014809760.1"
106895476,"XM_014954907.1","XP_014810393.1"
106898723,"XM_014960142.1","XP_014815628.1"
106898723,"XM_014960141.1","XP_014815627.1"
106890819,"XM_014946881.1","XP_014802367.1"
106902036,"XM_014965200.1","XP_014820686.1"
106890927,"XM_014947049.1","XP_014802535.1"
106890927,"XR_001412599.1",""
106893097,"XM_014950719.1","XP_014806205.1"
106893068,"XM_014950671.1","XP_014806157.1"
106891828,"XM_014948610.1","XP_014804096.1"
106898754,"XM_014960185.1","XP_014815671.1"
106893142,"XM_014950853.1","XP_014806339.1"
106902625,"XM_014966267.1","XP_014821753.1"
106897759,"XM_014958588.1","XP_014814074.1"
106886231,"XM_014938963.1","XP_014794449.1"
106897908,"XM_014958923.1","XP_014814409.1"
106897908,"XM_014958908.1","XP_014814394.1"
106897908,"XM_014958899.1","XP_014814385.1"
106897908,"XM_014958915.1","XP_014814401.1"
106898659,"XM_014960022.1","XP_014815508.1"
106898659,"XM_014960012.1","XP_014815498.1"
106899862,"XM_014961797.1","XP_014817283.1"
106899862,"XM_014961796.1","XP_014817282.1"
106891793,"XM_014948550.1","XP_014804036.1"
106891793,"XM_014948578.1","XP_014804064.1"
106891793,"XM_014948559.1","XP_014804045.1"
106891793,"XM_014948568.1","XP_014804054.1"
106885487,"XM_014937706.1","XP_014793192.1"
106885487,"XM_014937705.1","XP_014793191.1"
106897230,"XM_014957740.1","XP_014813226.1"
106901425,"XM_014964166.1","XP_014819652.1"
106901447,"XM_014964216.1","XP_014819702.1"
106901447,"XM_014964215.1","XP_014819701.1"
106901447,"XM_014964217.1","XP_014819703.1"
106901447,"XM_014964220.1","XP_014819706.1"
106901447,"XM_014964214.1","XP_014819700.1"
106901447,"XM_014964222.1","XP_014819708.1"
106901447,"XM_014964218.1","XP_014819704.1"
106901447,"XM_014964221.1","XP_014819707.1"
106891489,"XM_014948070.1","XP_014803556.1"
106891489,"XM_014948071.1","XP_014803557.1"
106891489,"XM_014948069.1","XP_014803555.1"
106897272,"XM_014957813.1","XP_014813299.1"
106890054,"XM_014945626.1","XP_014801112.1"
106891614,"XM_014948284.1","XP_014803770.1"
106891614,"XM_014948283.1","XP_014803769.1"
106895346,"XM_014954725.1","XP_014810211.1"
106895346,"XM_014954726.1","XP_014810212.1"
106898069,"XM_014959141.1","XP_014814627.1"
106898069,"XM_014959143.1","XP_014814629.1"
106898069,"XM_014959142.1","XP_014814628.1"
106895371,"XM_014954773.1","XP_014810259.1"
106897316,"XM_014957898.1","XP_014813384.1"
106900365,"XM_014962394.1","XP_014817880.1"
106901730,"XM_014964660.1","XP_014820146.1"
106901730,"XM_014964659.1","XP_014820145.1"
106901730,"XM_014964661.1","XP_014820147.1"
106891821,"XM_014948597.1","XP_014804083.1"
106891821,"XM_014948600.1","XP_014804086.1"
106891821,"XM_014948599.1","XP_014804085.1"
106901662,"XM_014964538.1","XP_014820024.1"
106893073,"XM_014950681.1","XP_014806167.1"
106893073,"XM_014950678.1","XP_014806164.1"
106893073,"XM_014950680.1","XP_014806166.1"
106893073,"XM_014950679.1","XP_014806165.1"
106893073,"XM_014950682.1","XP_014806168.1"
106898113,"XM_014959202.1","XP_014814688.1"
106887226,"XM_014940669.1","XP_014796155.1"
106894048,"XM_014952478.1","XP_014807964.1"
106894048,"XM_014952479.1","XP_014807965.1"
106894048,"XM_014952480.1","XP_014807966.1"
106894118,"XM_014952616.1","XP_014808102.1"
106894118,"XM_014952619.1","XP_014808105.1"
106894118,"XM_014952617.1","XP_014808103.1"
106894118,"XM_014952618.1","XP_014808104.1"
106894118,"XM_014952620.1","XP_014808106.1"
106901404,"XM_014964133.1","XP_014819619.1"
106895825,"XM_014955464.1","XP_014810950.1"
106890795,"XM_014946820.1","XP_014802306.1"
106890741,"XM_014946726.1","XP_014802212.1"
106902544,"XM_014966120.1","XP_014821606.1"
106902544,"XM_014966118.1","XP_014821604.1"
106902544,"XM_014966119.1","XP_014821605.1"
106890648,"XM_014946604.1","XP_014802090.1"
106898007,"XM_014959063.1","XP_014814549.1"
106890879,"XM_014946966.1","XP_014802452.1"
106888069,"XM_014942078.1","XP_014797564.1"
106888069,"XM_014942081.1","XP_014797567.1"
106888069,"XM_014942083.1","XP_014797569.1"
106888069,"XM_014942080.1","XP_014797566.1"
106888069,"XM_014942082.1","XP_014797568.1"
106888069,"XM_014942084.1","XP_014797570.1"
106888069,"XM_014942085.1","XP_014797571.1"
106895284,"XM_014954623.1","XP_014810109.1"
106888664,"XM_014943063.1","XP_014798549.1"
106898013,"XM_014959068.1","XP_014814554.1"
106886065,"XM_014938726.1","XP_014794212.1"
106886065,"XM_014938727.1","XP_014794213.1"
106886065,"XM_014938725.1","XP_014794211.1"
106895338,"XM_014954716.1","XP_014810202.1"
106895338,"XM_014954715.1","XP_014810201.1"
106895338,"XM_014954717.1","XP_014810203.1"
106887855,"XM_014941619.1","XP_014797105.1"
106896524,"XM_014956599.1","XP_014812085.1"
106896524,"XM_014956600.1","XP_014812086.1"
106893323,"XM_014951222.1","XP_014806708.1"
106902335,"XM_014965734.1","XP_014821220.1"
106899099,"XM_014960768.1","XP_014816254.1"
106899099,"XM_014960769.1","XP_014816255.1"
106901037,"XM_014963365.1","XP_014818851.1"
106902503,"XM_014966023.1","XP_014821509.1"
106902503,"XM_014966024.1","XP_014821510.1"
106884920,"XM_014936681.1","XP_014792167.1"
106884920,"XM_014936682.1","XP_014792168.1"
106884920,"XM_014936683.1","XP_014792169.1"
106888161,"XM_014942196.1","XP_014797682.1"
106894989,"XM_014954050.1","XP_014809536.1"
106901707,"XM_014964607.1","XP_014820093.1"
106886409,"XM_014939348.1","XP_014794834.1"
106886409,"XM_014939347.1","XP_014794833.1"
106892272,"XM_014949335.1","XP_014804821.1"
106887107,"XM_014940506.1","XP_014795992.1"
106902175,"XM_014965421.1","XP_014820907.1"
106902175,"XM_014965420.1","XP_014820906.1"
106902175,"XM_014965422.1","XP_014820908.1"
106902175,"XR_001414447.1",""
106902175,"XM_014965423.1","XP_014820909.1"
106902175,"XM_014965424.1","XP_014820910.1"
106890540,"XM_014946441.1","XP_014801927.1"
106897484,"XM_014958138.1","XP_014813624.1"
106892210,"XM_014949231.1","XP_014804717.1"
106892210,"XM_014949234.1","XP_014804720.1"
106892210,"XM_014949230.1","XP_014804716.1"
106892210,"XM_014949232.1","XP_014804718.1"
106885065,"XR_001411381.1",""
106885065,"XR_001411380.1",""
106885065,"XM_014936919.1","XP_014792405.1"
106885065,"XM_014936910.1","XP_014792396.1"
106885065,"XM_014936939.1","XP_014792425.1"
106885065,"XM_014936896.1","XP_014792382.1"
106885065,"XM_014936928.1","XP_014792414.1"
106885065,"XM_014936950.1","XP_014792436.1"
106885065,"XM_014936960.1","XP_014792446.1"
106897988,"XM_014959023.1","XP_014814509.1"
106897988,"XM_014959025.1","XP_014814511.1"
106897988,"XM_014959024.1","XP_014814510.1"
106886961,"XM_014940271.1","XP_014795757.1"
106895910,"XM_014955586.1","XP_014811072.1"
106891817,"XM_014948592.1","XP_014804078.1"
106902087,"XM_014965264.1","XP_014820750.1"
106891384,"XM_014947856.1","XP_014803342.1"
106886496,"XM_014939499.1","XP_014794985.1"
106886496,"XM_014939500.1","XP_014794986.1"
106892081,"XM_014948992.1","XP_014804478.1"
106894350,"XM_014952977.1","XP_014808463.1"
106894350,"XM_014952971.1","XP_014808457.1"
106894350,"XM_014952973.1","XP_014808459.1"
106894350,"XM_014952976.1","XP_014808462.1"
106894350,"XM_014952975.1","XP_014808461.1"
106894350,"XM_014952972.1","XP_014808458.1"
106894350,"XM_014952970.1","XP_014808456.1"
106892353,"XM_014949542.1","XP_014805028.1"
106886933,"XM_014940224.1","XP_014795710.1"
106895230,"XM_014954479.1","XP_014809965.1"
106889249,"XM_014944086.1","XP_014799572.1"
106889268,"XM_014944116.1","XP_014799602.1"
106893620,"XM_014951741.1","XP_014807227.1"
106899012,"XM_014960637.1","XP_014816123.1"
106895577,"XM_014955018.1","XP_014810504.1"
106895577,"XM_014955020.1","XP_014810506.1"
106895577,"XM_014955019.1","XP_014810505.1"
106895577,"XM_014955021.1","XP_014810507.1"
106895576,"XM_014955017.1","XP_014810503.1"
106895576,"XM_014955015.1","XP_014810501.1"
106895576,"XM_014955014.1","XP_014810500.1"
106888590,"XM_014942927.1","XP_014798413.1"
106895271,"XM_014954601.1","XP_014810087.1"
106895271,"XM_014954600.1","XP_014810086.1"
106895271,"XM_014954599.1","XP_014810085.1"
106892208,"XM_014949229.1","XP_014804715.1"
106892208,"XM_014949228.1","XP_014804714.1"
106892205,"XM_014949220.1","XP_014804706.1"
106892205,"XM_014949221.1","XP_014804707.1"
106893603,"XM_014951716.1","XP_014807202.1"
106893603,"XM_014951715.1","XP_014807201.1"
106885568,"XM_014937855.1","XP_014793341.1"
106885568,"XM_014937856.1","XP_014793342.1"
106888795,"XM_014943278.1","XP_014798764.1"
106891035,"XM_014947203.1","XP_014802689.1"
106891035,"XM_014947204.1","XP_014802690.1"
106890622,"XM_014946561.1","XP_014802047.1"
106885091,"XM_014936974.1","XP_014792460.1"
106890590,"XM_014946513.1","XP_014801999.1"
106896774,"XM_014957000.1","XP_014812486.1"
106902258,"XM_014965608.1","XP_014821094.1"
106902258,"XM_014965609.1","XP_014821095.1"
106896679,"XM_014956820.1","XP_014812306.1"
106896679,"XM_014956821.1","XP_014812307.1"
106885933,"XM_014938455.1","XP_014793941.1"
106886914,"XM_014940198.1","XP_014795684.1"
106891649,"XM_014948342.1","XP_014803828.1"
106885411,"XM_014937605.1","XP_014793091.1"
106885411,"XM_014937606.1","XP_014793092.1"
106885411,"XM_014937607.1","XP_014793093.1"
106885411,"XM_014937608.1","XP_014793094.1"
106885411,"XM_014937610.1","XP_014793096.1"
106885411,"XM_014937609.1","XP_014793095.1"
106901574,"XM_014964421.1","XP_014819907.1"
106897300,"XM_014957872.1","XP_014813358.1"
106890307,"XM_014946045.1","XP_014801531.1"
106890307,"XM_014946044.1","XP_014801530.1"
106890675,"XM_014946641.1","XP_014802127.1"
106890675,"XM_014946633.1","XP_014802119.1"
106900051,"XM_014962010.1","XP_014817496.1"
106902571,"XM_014966169.1","XP_014821655.1"
106902571,"XM_014966170.1","XP_014821656.1"
106895215,"XM_014954454.1","XP_014809940.1"
106895123,"XM_014954262.1","XP_014809748.1"
106895123,"XM_014954254.1","XP_014809740.1"
106885986,"XM_014938544.1","XP_014794030.1"
106885986,"XM_014938563.1","XP_014794049.1"
106885986,"XM_014938572.1","XP_014794058.1"
106885986,"XM_014938554.1","XP_014794040.1"
106889202,"XM_014944001.1","XP_014799487.1"
106889202,"XM_014944002.1","XP_014799488.1"
106889202,"XM_014944003.1","XP_014799489.1"
106889202,"XM_014943999.1","XP_014799485.1"
106889202,"XM_014943997.1","XP_014799483.1"
106889202,"XM_014943998.1","XP_014799484.1"
106896336,"XM_014956177.1","XP_014811663.1"
106888955,"XM_014943563.1","XP_014799049.1"
106888955,"XM_014943562.1","XP_014799048.1"
106896985,"XM_014957332.1","XP_014812818.1"
106895426,"XM_014954843.1","XP_014810329.1"
106899026,"XR_001414011.1",""
106899026,"XM_014960659.1","XP_014816145.1"
106899026,"XR_001414012.1",""
106885788,"XM_014938270.1","XP_014793756.1"
106885788,"XM_014938279.1","XP_014793765.1"
106888784,"XM_014943262.1","XP_014798748.1"
106889927,"XM_014945445.1","XP_014800931.1"
106893092,"XM_014950713.1","XP_014806199.1"
106889473,"XM_014944520.1","XP_014800006.1"
106889473,"XM_014944521.1","XP_014800007.1"
106884862,"XM_014936584.1","XP_014792070.1"
106884862,"XM_014936583.1","XP_014792069.1"
106884862,"XM_014936582.1","XP_014792068.1"
106892701,"XM_014950091.1","XP_014805577.1"
106886578,"XM_014939643.1","XP_014795129.1"
106896909,"XM_014957209.1","XP_014812695.1"
106896909,"XM_014957208.1","XP_014812694.1"
106890291,"XM_014946014.1","XP_014801500.1"
106890291,"XM_014946013.1","XP_014801499.1"
106893604,"XM_014951717.1","XP_014807203.1"
106902645,"XM_014966300.1","XP_014821786.1"
106897928,"XM_014958926.1","XP_014814412.1"
106895189,"XM_014954397.1","XP_014809883.1"
106892675,"XM_014950044.1","XP_014805530.1"
106892675,"XM_014950043.1","XP_014805529.1"
106901792,"XM_014964783.1","XP_014820269.1"
106889510,"XM_014944638.1","XP_014800124.1"
106900417,"XM_014962487.1","XP_014817973.1"
106887871,"XM_014941635.1","XP_014797121.1"
106884713,"XM_014936240.1","XP_014791726.1"
106893302,"XM_014951169.1","XP_014806655.1"
106893302,"XM_014951168.1","XP_014806654.1"
106893302,"XM_014951170.1","XP_014806656.1"
106891421,"XM_014947931.1","XP_014803417.1"
106895152,"XM_014954314.1","XP_014809800.1"
106895152,"XM_014954305.1","XP_014809791.1"
106891920,"XM_014948749.1","XP_014804235.1"
106901418,"XM_014964168.1","XP_014819654.1"
106901418,"XM_014964160.1","XP_014819646.1"
106901418,"XM_014964178.1","XP_014819664.1"
106898121,"XM_014959212.1","XP_014814698.1"
106894232,"XM_014952786.1","XP_014808272.1"
106894412,"XM_014953047.1","XP_014808533.1"
106887697,"XM_014941372.1","XP_014796858.1"
106888264,"XM_014942361.1","XP_014797847.1"
54124880,"",""
54124883,"",""
54124890,"",""
106890180,"XM_014945801.1","XP_014801287.1"
106886551,"XM_014939588.1","XP_014795074.1"
106886551,"XM_014939589.1","XP_014795075.1"
106894280,"XM_014952886.1","XP_014808372.1"
106902398,"XM_014965815.1","XP_014821301.1"
106894498,"XM_014953157.1","XP_014808643.1"
106889277,"XM_014944149.1","XP_014799635.1"
