GID,KEGG,KEGG_DESCRIPTION
106884580,K10890,FANCC; fanconi anemia group C protein
106884583,K18032,PTPRA; receptor-type tyrosine-protein phosphatase A [EC:3.1.3.48]
106884584,K22380,TMEM129; E3 ubiquitin-protein ligase TM129 [EC:2.3.2.27]
106884585,K19608,EVC2; ellis van creveld syndrome protein 2
106884586,,
106884587,K23720,UVSSA; UV-stimulated scaffold protein A
106884588,K07915,RAB28; Ras-related protein Rab-28
106884589,,
106884590,K24807,ZBTB49; zinc finger and BTB domain-containing protein 49
106884591,K16618,POLN; DNA polymerase nu [EC:2.7.7.7]
106884593,,
106884592,,
106884594,,
106884595,K01024,HS3ST1; [heparan sulfate]-glucosamine 3-sulfotransferase 1 [EC:2.8.2.23]
106884597,K10316,FBXO41; F-box protein 41
106884598,K12259,"SMOX, PAO5; spermine oxidase [EC:1.5.3.16 1.5.3.-]"
106884599,K02999,"RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]"
106884601,K19895,GFRA; GDNF family receptor alpha
106884603,K24428,SPON2; spondin-2
106884600,K06232,GAS1; growth arrest-specific 1
106884605,K12312,MAN2B2; epididymis-specific alpha-mannosidase [EC:3.2.1.24]
106884606,K14766,"NOP14, UTP2; nucleolar protein 14"
106884608,K22290,LRPAP1; alpha-2-macroglobulin receptor-associated protein
106884609,K04140,ADRA2C; adrenergic receptor alpha-2C
106884610,K12648,"MAVS, IPS1; mitochondrial antiviral-signaling protein"
106884607,K08803,DAPK; death-associated protein kinase [EC:2.7.11.1]
106884611,K05866,CDC25B; M-phase inducer phosphatase 2 [EC:3.1.3.48]
106884612,,
106884613,K19605,EVC1; ellis van creveld syndrome protein 1
106884614,,
106884617,K15263,LYER; cell growth-regulating nucleolar protein
106884618,K09103,"EBF, COE; early B-cell factor"
106884616,,
106884619,K13022,CPZ; carboxypeptidase Z [EC:3.4.17.-]
106884620,K13238,"ECI1, DCI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]"
106884621,K11995,DNASE1L; deoxyribonuclease-1-like protein [EC:3.1.21.-]
106884623,K23551,FSCN1; fascin 1
106884624,K04827,"SCNN1G, ENACG; amiloride-sensitive sodium channel subunit gamma"
106884625,K19684,"CLUAP1, DYF3; clusterin-associated protein 1"
106884622,K10207,HSD17B3; testosterone 17beta-dehydrogenase (NADP+) [EC:1.1.1.64]
106884626,,
106884627,,
106884628,K16535,"FOPNL, FOR20; lisH domain-containing protein FOPNL"
106884629,K06631,PLK1; polo-like kinase 1 [EC:2.7.11.21]
106884630,K06631,PLK1; polo-like kinase 1 [EC:2.7.11.21]
106884631,K08060,CIITA; MHC class II transactivator [EC:2.7.11.1]
106884632,K04825,"SCNN1B, ENACB; amiloride-sensitive sodium channel subunit beta"
106884633,K24500,VASN; vasorin
106884636,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B"
106884637,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B"
106884634,K03841,"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
106884638,K12873,"BUD31, G10; bud site selection protein 31"
106884639,K06975,K06975; uncharacterized protein
106884640,K15149,MED9; mediator of RNA polymerase II transcription subunit 9
106884641,K07197,"SREBP1, SREBF1; sterol regulatory element-binding transcription factor 1"
106884615,K23849,"CABP7_8, CALN2_1; calcium-binding protein 7/8"
106884642,K06944,"DRG, RBG; developmentally-regulated GTP-binding protein [EC:3.6.5.-]"
106884643,K10361,MYO15; myosin XV
106884644,K04855,"CACNA1H, CAV3.2; voltage-dependent calcium channel T type alpha-1H"
106884646,K23555,LMF1; lipase maturation factor 1
106884647,K23555,LMF1; lipase maturation factor 1
106884648,K11269,"CTF18, CHL12; chromosome transmission fidelity protein 18"
106884645,K11536,SLC28A; pyrimidine nucleoside transport protein
106884649,,
106884650,,
106884651,K07305,msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
106884652,,
106884653,,
106884654,K07207,TSC2; tuberous sclerosis 2
106884655,K21952,"CASKIN, ANKS5; CASK-interacting protein"
106884656,,
106884657,K19269,"PGP, PGLP; phosphoglycolate phosphatase [EC:3.1.3.18 3.1.3.48]"
106884658,K22401,E4F1; transcription factor E4F1 / E3 ubiquitin-protein ligase [EC:2.3.2.27]
106884659,,
106884660,,
106884661,K19662,PRKCB; classical protein kinase C beta type [EC:2.7.11.13]
106884662,K04868,CACNG3; voltage-dependent calcium channel gamma-3
106884663,K03955,"NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein"
106884664,K10897,"PALB2, FANCN; partner and localizer of BRCA2"
106884665,K12404,GGA; ADP-ribosylation factor-binding protein GGA
106884667,K07808,HS3ST2; [heparan sulfate]-glucosamine 3-sulfotransferase 2 [EC:2.8.2.29]
106884668,K09678,HS3ST4; [heparan sulfate]-glucosamine 3-sulfotransferase 4 [EC:2.8.2.-]
106884669,K10277,"KDM8, JMJD5; [protein]-arginine 3-hydroxylase / protease [EC:1.14.11.73 3.4.-.-]"
106884666,K00851,"idnK, gntK; gluconokinase [EC:2.7.1.12]"
106884670,K23663,MOSMO; modulator of smoothened protein
106884671,,
106884672,K18258,CRYM; thiomorpholine-carboxylate dehydrogenase [EC:1.5.1.25]
106884673,K19927,ZP2; zona pellucida sperm-binding protein 2
106884674,K04320,MCHR1; melanin-concentrating hormone receptor 1
106884675,K10408,DNAH; dynein axonemal heavy chain
106884676,K18417,ERI2; ERI1 exoribonuclease 2 [EC:3.1.-.-]
106884677,,
106884678,K19915,SYT17; synaptotagmin-17
106884679,K08873,SMG1; serine/threonine-protein kinase SMG1 [EC:2.7.11.1]
106884680,K00771,XYLT; protein xylosyltransferase [EC:2.4.2.26]
106884681,K17935,SNX29; sorting nexin-29
106884682,,
106884683,K01047,"PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]"
106884685,,
106884686,,
106884687,,
106884684,K25454,CFC1; cryptic protein
106884688,K13153,SNRNP25; U11/U12 small nuclear ribonucleoprotein 25 kDa protein
106884689,K24576,TMEM8A_B; transmembrane protein 8A/B
106884690,K09581,PDIA2; protein disulfide-isomerase A2 [EC:5.3.4.1]
106884691,,
106884692,,
106884693,K09488,"TRAP1, HSP75; TNF receptor-associated protein 1"
106884694,K09108,TFAP4; transcription factor AP-4
106884695,K09233,GLIS2; zinc finger protein GLIS2
106884696,K09504,DNAJA3; DnaJ homolog subfamily A member 3
106884697,K22614,"NLRC3, NOD3; NLR family CARD domain-containing protein 3"
106884698,K25423,DNAAF8; dynein axonemal assembly factor 8
106884700,K16867,"NUDT16L1, SDOS; NUDT16-like protein 1"
106884701,K08852,ERN1; serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]
106884702,,
106884703,K23930,FAM83; protein FAM83
106884704,K14390,"SLC5A10, SGLT5; solute carrier family 5 (sodium/glucose cotransporter), member 10"
106884705,K12462,"ARHGDI, RHOGDI; Rho GDP-dissociation inhibitor"
106884706,K10284,FBXL18; F-box and leucine-rich repeat protein 18
106884707,K05692,ACTB_G1; actin beta/gamma 1
106884708,K07556,"ATPeAF2, ATPAF2, ATP12; ATP synthase mitochondrial F1 complex assembly factor 2"
106884709,K16744,B9D1; B9 domain-containing protein 1
106884711,K23335,GID4; glucose-induced degradation protein 4
106884712,K04221,SSTR5; somatostatin receptor 5
106884713,K06134,COQ7; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
106884714,K16449,RGS; regulator of G-protein signaling
106884715,K05153,"TNFRSF17, BCMA, CD269; tumor necrosis factor receptor superfamily member 17"
106884716,K04245,CMKLR1; chemokine-like receptor 1
106884717,K15043,KPNA2_7; importin subunit alpha-1/8
106884718,K14459,HEX; hexosaminidase [EC:3.2.1.52]
106884719,K08428,GPR139; G protein-coupled receptor 139
106884720,K20733,MSLN; mesothelin
106884724,K04583,GCGR; glucagon receptor
106884721,K15281,SLC35D; solute carrier family 35
106884725,K00940,"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
106884726,K19470,C1QTNF1_6_8; complement C1q tumor necrosis factor-related protein 1/6/8
106884727,K11994,DNASE1; deoxyribonuclease-1 [EC:3.1.21.1]
106884729,K05075,"IL21R, CD360; interleukin 21 receptor"
106884730,K18631,TEKT4; tektin-4
106884731,K23694,GRAP; GRB2-related adapter protein
106884732,K05073,"IL9R, CD129; interleukin 9 receptor"
106884733,,
106884735,K21414,"ANKS4B, HARP; ankyrin repeat and SAM domain-containing protein 4B"
106884736,K09679,HS3ST6; [heparan sulfate]-glucosamine 3-sulfotransferase 6 [EC:2.8.2.-]
106884737,K25443,DRC3; dynein regulatory complex subunit 3
106884710,K23080,CASTOR1; cytosolic arginine sensor for mTORC1 subunit 1
106884734,,
106884738,,
106884739,,
106884740,K22420,MEIOB; meiosis-specific with OB domain-containing protein [EC:3.1.-.-]
106884741,K04547,GNG13; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13
106884743,K25423,DNAAF8; dynein axonemal assembly factor 8
106884745,,
106884746,,
106884747,K09869,AQP8; aquaporin-8
106884744,K19019,HABP4; intracellular hyaluronan-binding protein 4
106884749,,
106884750,,
106884751,K05137,IL20RB; interleukin 20 receptor beta
106884752,K05150,"TNFRSF13B, TACI, CD267; tumor necrosis factor receptor superfamily member 13B"
106884755,K23792,MPRIP; myosin phosphatase Rho-interacting protein
106884756,K16862,PLD6; mitochondrial cardiolipin hydrolase [EC:3.1.4.-]
106884757,K09594,"FLCN, BHD; folliculin"
106884758,,
106884760,K01069,"gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
106884759,K04360,"NTRK2, TRKB; neurotrophic tyrosine kinase receptor type 2 [EC:2.7.10.1]"
106884761,,
106884763,K01557,FAHD1; acylpyruvate hydrolase [EC:3.7.1.5]
106884764,K24945,ZC3H7; zinc finger CCCH domain-containing protein 7
106884762,K10990,"RMI1, BRAP75; RecQ-mediated genome instability protein 1"
106884765,,
106884766,,
106884767,K05665,"ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]"
106884769,,
106884768,K12886,HNRNPK; heterogeneous nuclear ribonucleoprotein K
106884770,,
106884771,K05669,"ABCC6; ATP-binding cassette, subfamily C (CFTR/MRP), member 6"
106884773,K08049,ADCY9; adenylate cyclase 9 [EC:4.6.1.1]
106884774,K20638,"ARHGAP17, RICH1; Rho GTPase-activating protein 17"
106884775,K14391,"SLC5A11, SMIT2, SGLT6; solute carrier family 5 (sodium/myo-inositol cotransporter), member 11"
106884776,K03165,TOP3; DNA topoisomerase III [EC:5.6.2.1]
106884777,K23611,SMCR8; guanine nucleotide exchange protein SMCR8
106884778,K23507,MIEF1_2; mitochondrial dynamics protein MID51/49
106884780,K00600,"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
106884781,K10624,RBBP6; E3 ubiquitin-protein ligase RBBP6 [EC:2.3.2.27]
106884783,K13524,ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]
106884784,K23040,METTL22; methyltransferase-like protein 22 [EC:2.1.1.-]
106884785,,
106884786,,
106884788,K17573,"LKAP, MARF1; meiosis arrest female protein 1"
106884789,,
106884790,K05071,"IL4R, CD124; interleukin 4 receptor"
106884791,K22817,"NSMCE1, NSE1; non-structural maintenance of chromosomes element 1 [EC:2.3.2.27]"
106884792,K22525,MKL; MKL/myocardin-like protein
106884794,K04985,PKD1; polycystin 1
106884795,K18412,"TNRC6, GW182; trinucleotide repeat-containing gene 6 protein"
106884797,K13822,HBA; hemoglobin subunit alpha
106884798,K13822,HBA; hemoglobin subunit alpha
106884782,K19944,TBC1D10; TBC1 domain family member 10
106884799,K02981,"RP-S2e, RPS2; small subunit ribosomal protein S2e"
106884800,K02981,"RP-S2e, RPS2; small subunit ribosomal protein S2e"
106884801,K03966,NDUFB10; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10
106884802,K02925,"RP-L3e, RPL3; large subunit ribosomal protein L3e"
106884803,K10646,"TRAF7, RFWD1; E3 ubiquitin-protein ligase TRAF7 [EC:2.3.2.27]"
106884804,K17823,DCUN1D3; DCN1-like protein 3
106884805,,
106884806,K22381,ZNF598; E3 ubiquitin-protein ligase ZNF598 [EC:2.3.2.27]
106884809,K23047,UNKL; E3 ubiquitin-protein ligase UNKL [EC:2.3.2.27]
106884807,K23435,"AGTPBP1, CCP1; cytosolic carboxypeptidase protein 1 [EC:3.4.17.24]"
106884810,K20406,"NPRL3, NPR3; nitrogen permease regulator 3"
106884811,K03652,MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]
106884812,K15684,BFAR; bifunctional apoptosis regulator
106884814,,
106884815,K11838,"USP7, UBP15; ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]"
106884816,,
106884818,K05005,"KCNJ12_18, KIR2.2, KIR2.6; potassium inwardly-rectifying channel subfamily J member 12/18"
106884819,K12471,EPN; epsin
106884820,K14946,"RBFOX, FOX; RNA binding protein fox-1"
106884821,K20823,"NAA35, MAK10; N-alpha-acetyltransferase 35, NatC auxiliary subunit"
106884823,K21914,KCTD2_5_17; BTB/POZ domain-containing protein KCTD2/5/17
106884825,K10352,MYH9s; myosin heavy chain 9/10/11/14
106884824,,
106884826,,
106884827,K21418,HMOX2; heme oxygenase 2 [EC:1.14.14.18]
106884828,K11366,"USP22_27_51, UBP8; ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12]"
106884829,K15216,"RRN3, TIFIA; RNA polymerase I-specific transcription initiation factor RRN3"
106884830,K14775,"UTP30, RSL1D1; ribosome biogenesis protein UTP30"
106884831,,
106884832,,
106884833,K14662,NTAN1; protein N-terminal asparagine amidohydrolase [EC:3.5.1.121]
106884834,K10773,NTH; endonuclease III [EC:4.2.99.18]
106884835,K13358,"SLC9A3R2, NHERF2; sodium/hydrogen exchange regulatory cofactor NHE-RF2"
106884836,,
106884838,K11166,DHRS7B; dehydrogenase/reductase SDR family member 7B [EC:1.1.-.-]
106884837,K09606,C9ORF3; aminopeptidase O [EC:3.4.11.-]
106884842,,
106884843,K10767,ALKBH5; mRNA N6-methyladenine demethylase [EC:1.14.11.53]
106884844,K06276,PDPK1; 3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1]
106884845,,
106884822,,
106884846,K21121,NAA60; N-alpha-acetyltransferase 60 [EC:2.3.1.259]
106884847,,
106884848,,
106884849,K21814,CPPED1; serine/threonine-protein phosphatase CPPED1 [EC:3.1.3.16]
106884851,K10427,DCTN5; dynactin 5
106884852,K19513,CLEC16A; protein CLEC16A
106884853,K14570,"REX1, REXO1, REXO5, RNH70; RNA exonuclease [EC:3.1.-.-]"
106884854,K01896,ACSM; medium-chain acyl-CoA synthetase [EC:6.2.1.2]
106884855,,
106884856,K18632,TEKT5; tektin-5
106884857,,
106884858,,
106884859,K05209,"GRIN2A; glutamate receptor ionotropic, NMDA 2A"
106884860,K03267,"ERF3, GSPT; peptide chain release factor subunit 3"
106884861,,
106884862,K12177,"COPS3, CSN3; COP9 signalosome complex subunit 3"
106884863,K17497,PMM; phosphomannomutase [EC:5.4.2.8]
106884864,,
106884865,K08266,"MLST8, GBL; target of rapamycin complex subunit LST8"
106884866,K04498,"EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]"
106884867,K17710,PTCD1; pentatricopeptide repeat domain-containing protein 1
106884868,K14404,"CPSF4, YTH1; cleavage and polyadenylation specificity factor subunit 4"
106884869,K02130,"ATPeF0F, ATP5J2; F-type H+-transporting ATPase subunit f"
106884870,K02130,"ATPeF0F, ATP5J2; F-type H+-transporting ATPase subunit f"
106884871,K00415,"QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2"
106884872,K04678,SMURF; E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26]
106884873,K12485,RAB11FIP3_4; Rab11 family-interacting protein 3/4
106884874,K04619,GPRC5B; G protein-coupled receptor family C group 5 member B
106884875,,
106884876,K25204,"XPO6, RANBP20; exportin-6"
106884877,K16453,"CCP110, CEP110; centrosomal protein CEP110"
106884878,K10848,"ERCC4, XPF; DNA excision repair protein ERCC-4 [EC:3.1.-.-]"
106884881,K24864,ARL6IP1; ADP-ribosylation factor-like protein 6-interacting protein 1
106884882,,
106884880,K04523,"UBQLN, DSK2; ubiquilin"
106884883,K05757,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B"
106884884,K17258,ITFG3; integrin alpha FG-GAP repeat containing protein 3
106884886,K02157,AXIN1; axin 1
106884887,K02157,AXIN1; axin 1
106884888,K04694,"SOCS1, JAB; suppressor of cytokine signaling 1"
106884891,K18619,CORO7; coronin-7
106884892,,
106884893,K10577,"UBE2I, UBC9; ubiquitin-conjugating enzyme E2 I"
106884895,K15199,GTF3C1; general transcription factor 3C polypeptide 1
106884896,K13826,HBZ; hemoglobin subunit zeta
106884897,K11976,"RNF216, TRIAD3; E3 ubiquitin-protein ligase RNF216 [EC:2.3.2.31]"
106884894,K13291,TUT; terminal uridylyltransferase [EC:2.7.7.52]
106884898,K10087,"GNPTG, GNPTAG; N-acetylglucosamine-1-phosphate transferase, gamma subunit"
106884899,K09140,TSR3; pre-rRNA-processing protein TSR3
106884900,K20003,"ZDHHC4, SWF1; palmitoyltransferase ZDHHC4 [EC:2.3.1.225]"
106884901,K25731,VPS35L; VPS35 endosomal protein-sorting factor-like
106884902,,
106884903,K01896,ACSM; medium-chain acyl-CoA synthetase [EC:6.2.1.2]
106884904,K01896,ACSM; medium-chain acyl-CoA synthetase [EC:6.2.1.2]
106884905,K20354,PDILT; protein disulfide-isomerase-like protein of the testis
106884906,K02902,"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
106884907,K11852,USP31; ubiquitin carboxyl-terminal hydrolase 31 [EC:3.4.19.12]
106884908,,
106884909,,
106884885,K14843,"PES1, NOP7; pescadillo"
106884911,K01885,"EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]"
106884912,K16738,"NDE1, NUDE; nuclear distribution protein NudE"
106884910,K20098,ERCC6L2; DNA excision repair protein ERCC-6-like 2 [EC:5.6.2.-]
106884913,K01148,"PARN, PNLDC1; poly(A)-specific ribonuclease [EC:3.1.13.4]"
106884914,K19363,LITAF; lipopolysaccharide-induced tumor necrosis factor-alpha factor
106884915,K19749,RAI1; retinoic acid-induced protein 1
106884916,K07913,RAB26; Ras-related protein Rab-26
106884917,K10484,"BTBD12, SLX4; structure-specific endonuclease subunit SLX4 (BTB/POZ domain-containing protein 12)"
106884918,K09270,SOX7S; transcription factor SOX7/8/10/18 (SOX group E/F)
106884920,K20294,COG7; conserved oligomeric Golgi complex subunit 7
106884921,K05016,CLCN7; chloride channel 7
106884922,K06963,"TAN1, THUMPD1; tRNA acetyltransferase TAN1"
106884923,K01896,ACSM; medium-chain acyl-CoA synthetase [EC:6.2.1.2]
106884924,K18203,LCMT1; [phosphatase 2A protein]-leucine-carboxy methyltransferase [EC:2.1.1.233]
106884925,K04432,"MAP2K3, MKK3; mitogen-activated protein kinase kinase 3 [EC:2.7.12.2]"
106884926,,
106884928,K21988,TMC; transmembrane channel-like protein
106884927,K22063,ISCA1; iron-sulfur cluster assembly 1
106884929,K21988,TMC; transmembrane channel-like protein
106884930,K01081,E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
106884931,K16938,SEPT3_9_12; septin 3/9/12
106884932,,
106884933,K14555,"UTP13, TBL3; U3 small nucleolar RNA-associated protein 13"
106884935,K17934,"NOXO1, SNX28; NADPH oxidase organizer 1"
106884936,,
106884934,K06639,CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]
106884937,K07843,"RASD1; RAS, dexamethasone-induced Ras-related protein 1"
106884938,K15149,MED9; mediator of RNA polymerase II transcription subunit 9
106884939,K13349,MPV17L; Mpv17-like protein
106884940,K08858,SBK; serine/threonine-protein kinase SBK [EC:2.7.11.1]
106884941,K19179,GDE1; glycerophosphoinositol glycerophosphodiesterase [EC:3.1.4.44]
106884942,,
106884943,K22858,JBTS26; protein JBTS26
106884944,K00551,PEMT; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
106884946,,
106884947,K01885,"EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]"
106884948,K10604,MGRN1; E3 ubiquitin-protein ligase MGRN1 [EC:2.3.2.27]
106884949,K02957,"RP-S15Ae, RPS15A; small subunit ribosomal protein S15Ae"
106884950,,
106884951,K13237,"DECR2, SPS19; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], peroxisomal [EC:1.3.1.124]"
106884952,,
106884953,K17783,"ERV1, GFER, ALR; mitochondrial FAD-linked sulfhydryl oxidase [EC:1.8.3.2]"
106884954,K06094,LLGL; lethal(2) giant larvae protein
106884956,K16822,FRMD6; FERM domain-containing protein 6
106884957,K00621,"GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]"
106884958,K10950,ERO1L; ERO1-like protein alpha [EC:1.8.4.-]
106884959,K10348,"LRR1, PPIL5; LRR-repeat protein 1"
106884960,,
106884962,K24886,TOGARAM; TOG array regulator of axonemal microtubules protein
106884963,K09570,FKBP3; FK506-binding protein 3 [EC:5.2.1.8]
106884964,K10896,FANCM; fanconi anemia group M protein
106884965,,
106884966,,
106884967,K00736,"MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]"
106884968,K19751,"DNAAF2, KTU, PF13; dynein axonemal assembly factor 2"
106884969,K03099,SOS; son of sevenless
106884970,K00109,L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
106884972,K17339,ATL; atlastin [EC:3.6.5.-]
106884973,K16686,"SAV1, Sav; scaffold protein salvador"
106884974,K13705,ABHD12B; abhydrolase domain-containing protein 12B [EC:3.-.-.-]
106884971,K06225,PTCH1; patched 1
106884975,,
106884976,K06826,NID; nidogen (entactin)
106884977,K04332,PTGDR; prostaglandin D2 receptor
106884978,K17083,"FERMT2, KIND2; kindlin 2"
106884979,K13619,DDHD1; phospholipase DDHD1 [EC:3.1.1.118]
106884980,K00688,"PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"
106884981,K21806,"VCPKMT, METTL21D; protein N-lysine methyltransferase METTL21D [EC:2.1.1.-]"
106884982,K10649,TRIM9_67; tripartite motif-containing protein 9/67
106884983,,
106884984,K02980,"RP-S29e, RPS29; small subunit ribosomal protein S29e"
106884985,,
106884955,K14619,TCN2; transcobalamin-2
106884987,K25810,KLHDC1; kelch domain-containing protein 1
106884988,K08824,CDKL; cyclin-dependent kinase-like [EC:2.7.11.22]
106884989,K07554,"ATPeF0S, ATP5S; ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s"
106884991,K13217,"PRPF39, PRP39; pre-mRNA-processing factor 39"
106884992,K15433,"CGI99, CLE7, RLLM1; RLL motif containing protein 1"
106884993,K08833,"MAP4K5, KHS1; mitogen-activated protein kinase kinase kinase kinase 5 [EC:2.7.11.1]"
106884995,K07941,ARF6; ADP-ribosylation factor 6
106884996,K10649,TRIM9_67; tripartite motif-containing protein 9/67
106884997,,
106884994,K24186,KIF27; kinesin family member 27
106884998,K04259,PTGER2; prostaglandin E receptor 2
106884999,,
106885000,K16476,NIN; ninein
106885001,K10464,KLHL28; kelch-like protein 28
106885003,K03064,"PSMC6, RPT4; 26S proteasome regulatory subunit T4"
106885002,K01365,CTSL; cathepsin L [EC:3.4.22.15]
106885004,K02325,POLE2; DNA polymerase epsilon subunit 2 [EC:2.7.7.7]
106885005,K25807,KLHDC2; kelch domain-containing protein 2
106885006,K24971,"NEMF, RQC2; nuclear export mediator factor NEMF"
106885007,K04662,BMP4; bone morphogenetic protein 4
106885008,K07826,GNG2; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
106885009,K22989,GPR137; integral membrane protein GPR137
106885011,K18042,STYX; serine/threonine/tyrosine-interacting protein
106885012,K16358,"LRFN5, SALM5; leucine-rich repeat and fibronectin type-III domain-containing protein 5"
106885010,K23969,FRMD3_5; FERM domain-containing protein 3/5
106885013,K12376,ARSK; arylsulfatase K [EC:3.1.6.-]
106885014,,
106885015,,
