gene,inv_allele_ratio_tna,inv_allele_ratio_adr,inv_allele_ratio_gon,inv_allele_ratio_hyp,inv_allele_ratio_liv,inv_allele_ratio_ls,inv_allele_ratio_nc,inv_allele_ratio_pit,inv_allele_ratio_poa,inv_allele_ratio_rap,inv_allele_ratio_vta,mean_ase
CDT1,0.391,0.463,0.439,0.445,0.245,0.381,0.415,0.494,0.407,0.47,0.44,0.417272727
CENPN,0.308,0.558,0.807,0.36,0.699,0.402,0.31,0.482,0.253,0.314,0.346,0.439909091
CHMP1A,0.572,0.558,0.536,0.559,0.59,0.563,0.57,0.558,0.561,0.56,0.565,0.562909091
CHTF8,0.427,0.388,0.416,0.425,0.318,0.476,0.359,0.4,0.47,0.502,0.452,0.421181818
CIDEC,NA,0.403,0.352,NA,0.354,NA,NA,0.073,NA,0.714,1,0.482666667
CMIP,0.576,0.781,0.475,0.59,0.719,0.632,0.526,0.665,0.602,0.547,0.533,0.604181818
COG8,0.538,0.586,0.595,0.546,0.575,0.534,0.545,0.526,0.534,0.564,0.53,0.552090909
COTL1,0.533,0.458,0.571,0.549,0.532,0.574,0.537,0.503,0.551,0.543,0.53,0.534636364
COX4I1,0.467,0.507,0.491,0.475,0.496,0.476,0.478,0.493,0.48,0.477,0.469,0.482636364
CPNE7,0.478,0.357,0.409,0.361,0.25,0.433,0.401,0.028,0.357,0.294,0.338,0.336909091
CRISPLD2,0.15,0.211,0.096,0.153,0.153,0.123,0.106,0.159,0.127,0.119,0.175,0.142909091
CTU2,0.519,0.481,0.54,0.509,0.459,0.484,0.494,0.432,0.49,0.523,0.491,0.492909091
CYB5B,0.568,0.527,0.596,0.523,0.622,0.524,0.573,0.612,0.529,0.555,0.537,0.560545455
CYBA,0.199,0.51,0.318,0.233,0.41,0.264,0.263,0.272,0.251,0.274,0.299,0.299363636
DBNDD1,0.53,0.598,0.553,0.538,0.722,0.544,0.55,0.536,0.539,0.531,0.559,0.563636364
DPEP1,0.807,0.613,0.799,0.8,0.117,0.904,0.75,0.941,0.914,0.973,1,0.783454545
DUSP15,0.4,0.45,NA,0,0.5,NA,NA,0.292,0.375,0.167,0.278,0.30775
EMC8,0.532,0.561,0.561,0.504,0.606,0.524,0.549,0.527,0.51,0.544,0.523,0.540090909
FANCA,0.522,0.393,0.482,0.562,0.379,0.674,0.611,0.483,0.638,0.66,0.53,0.539454545
FBXO31,0.478,0.569,0.565,0.485,0.674,0.487,0.47,0.522,0.48,0.44,0.441,0.510090909
FOXC2,0.612,0.549,0.621,0.489,0.667,0.578,0.462,0.616,0.59,0.461,0.585,0.566363636
FOXF1,NA,0.917,NA,NA,0.5,NA,NA,0.535,0.4,NA,0.4,0.5504
FOXL1,NA,0,NA,NA,NA,NA,NA,0.4,NA,NA,NA,0.2
GALNS,0.506,0.505,0.532,0.5,0.324,0.491,0.508,0.483,0.483,0.497,0.479,0.482545455
GAN,0.607,0.568,0.598,0.61,0.654,0.629,0.609,0.556,0.615,0.632,0.625,0.609363636
GAS8,0.531,0.545,0.519,0.475,0.529,0.477,0.493,0.494,0.495,0.464,0.484,0.500545455
GINS2,0.162,0.16,0.265,0.2,0.096,0.181,0.186,0.312,0.233,0.232,0.229,0.205090909
GSE1,0.556,0.557,0.514,0.537,0.424,0.5,0.555,0.552,0.552,0.534,0.546,0.529727273
HAS3,0.537,0.5,0.682,0.566,NA,0.505,0.609,0.385,0.492,0.558,0.5,0.5334
HSBP1,0.45,0.506,0.492,0.44,0.508,0.447,0.455,0.462,0.453,0.435,0.446,0.463090909
HSD17B2,0.909,0.961,0.6,0.992,0.429,1,0.936,1,0.97,1,1,0.890636364
IRF8,0.456,0.428,0.53,0.468,0.422,0.51,0.483,0.395,0.494,0.493,0.45,0.466272727
JPH3,0.545,0.537,0.48,0.553,1,0.545,0.542,0.543,0.559,0.548,0.568,0.583636364
KCNG4,0.426,0.333,0.662,0.549,NA,0.5,0.474,0.7,0.4,0.517,0.523,0.5084
KIAA0513,0.554,0.53,0.476,0.556,0.41,0.569,0.582,0.542,0.591,0.546,0.528,0.534909091
KLHDC4,0.395,0.337,0.302,0.374,0.332,0.403,0.367,0.396,0.383,0.383,0.385,0.368818182
KLHL36,0.512,0.509,0.532,0.517,0.495,0.508,0.536,0.583,0.528,0.532,0.523,0.525
LOC106888094,0.608,0.772,0.547,0.646,0.685,0.64,0.594,0.721,0.686,0.654,0.634,0.653363636
LOC106888097,0.582,0.656,0.508,0.585,0.599,0.594,0.566,0.634,0.599,0.576,0.615,0.592181818
LOC106888173,0.871,0.827,0.561,0.843,0.733,0.826,0.917,0.474,0.846,0.781,0.809,0.771636364
LOC106888185,0.683,0.631,0.616,0.714,0.586,0.638,0.674,0.627,0.614,0.658,0.664,0.645909091
LOC106888312,0.478,0.577,0.662,0.333,0.452,0.682,0.56,0.644,0.477,0.76,0.778,0.582090909
LOC106888384,0.403,0.453,0.293,0.372,0.472,0.309,0.453,0.586,0.398,0.434,0.427,0.418181818
MC1R,0.5,NA,0.429,0.5,NA,NA,0.5,NA,0.6,0.455,0.286,0.467142857
MLYCD,0.528,0.519,0.554,0.5,0.587,0.476,0.49,0.541,0.494,0.499,0.512,0.518181818
MPHOSPH6,0.531,0.505,0.507,0.542,0.541,0.512,0.52,0.556,0.553,0.549,0.536,0.532
MTHFSD,0.6,0.603,0.522,0.572,0.538,0.549,0.619,0.526,0.547,0.541,0.536,0.559363636
MVD,0.445,0.466,0.52,0.501,0.368,0.463,0.415,0.531,0.466,0.507,0.498,0.470909091
NIP7,0.523,0.501,0.423,0.53,0.472,0.517,0.527,0.507,0.526,0.52,0.529,0.506818182
PABPN1L,NA,NA,0.536,NA,NA,NA,NA,NA,NA,NA,NA,0.536
PIEZO1,0.513,0.491,0.35,0.556,0.302,0.548,0.491,0.516,0.544,0.567,0.573,0.495545455
PKD1L2,0.3,0.312,0.608,0.273,0.222,0.091,0.091,0.425,0.312,0.476,0.381,0.317363636
PLCG2,0.347,0.306,0.155,0.436,0.094,0.354,0.361,0.331,0.377,0.26,0.301,0.302
PPP1R3E,0.368,0.4,0.609,0.333,0.412,0.5,0.267,0.462,0.333,0.389,0.267,0.394545455
RNF166,0.55,0.55,0.403,0.554,0.534,0.555,0.548,0.55,0.541,0.547,0.538,0.533636364
RPL13,0.525,0.537,0.518,0.528,0.5,0.523,0.518,0.531,0.517,0.53,0.522,0.522636364
SDR42E1,0.691,0.72,0.549,0.711,0.353,0.738,0.73,0.643,0.717,0.667,0.719,0.658
SLC22A31,0.583,0.268,0.299,0.533,0.033,0.592,0.614,0.536,0.589,0.535,0.561,0.467545455
SLC7A5,0.562,0.61,0.419,0.573,0.568,0.578,0.562,0.41,0.575,0.564,0.57,0.544636364
SNTB2,0.543,0.478,0.522,0.469,0.582,0.477,0.493,0.485,0.498,0.442,0.486,0.497727273
SPATA2L,0.599,0.544,0.593,0.602,0.64,0.558,0.574,0.562,0.587,0.611,0.619,0.589909091
SPG7,0.484,0.516,0.577,0.493,0.457,0.484,0.487,0.517,0.5,0.501,0.51,0.502363636
SPIRE2,0.481,0.525,0.112,0.482,0.833,0.483,0.457,0.481,0.504,0.471,0.482,0.482818182
TANGO6,0.473,0.489,0.455,0.493,0.427,0.463,0.467,0.487,0.472,0.479,0.482,0.471545455
TCF25,0.477,0.47,0.527,0.444,0.434,0.399,0.429,0.461,0.454,0.425,0.425,0.449545455
TERF2,0.563,0.576,0.644,0.599,0.636,0.602,0.576,0.579,0.579,0.58,0.604,0.594363636
TLDC1,0.498,0.464,0.456,0.444,0.526,0.442,0.519,0.472,0.46,0.419,0.401,0.463727273
TMED6,NA,NA,0.167,NA,0,NA,NA,0.25,NA,NA,NA,0.139
TRAPPC2L,0.364,0.422,0.344,0.36,0.329,0.365,0.369,0.37,0.382,0.361,0.364,0.366363636
USP10,0.524,0.524,0.497,0.536,0.565,0.517,0.543,0.519,0.557,0.571,0.534,0.535181818
UTP4,0.544,0.568,0.596,0.562,0.632,0.573,0.595,0.539,0.557,0.55,0.539,0.568636364
VPS4A,0.495,0.525,0.632,0.507,0.541,0.488,0.508,0.526,0.504,0.51,0.508,0.522181818
VPS9D1,0.593,0.468,0.445,0.592,0.429,0.54,0.566,0.471,0.575,0.608,0.599,0.535090909
WFDC1,0.641,0.663,0.625,0.671,0.727,0.533,0.691,0.478,0.657,0.841,0.694,0.656454545
ZC3H18,0.621,0.545,0.625,0.614,0.523,0.63,0.599,0.538,0.611,0.604,0.597,0.591545455
ZCCHC14,0.458,0.465,0.448,0.452,0.517,0.46,0.454,0.448,0.451,0.476,0.471,0.463636364
ZDHHC7,0.552,0.515,0.483,0.525,0.455,0.516,0.504,0.583,0.524,0.517,0.521,0.517727273
ZFPM1,0.448,0.501,0.613,0.526,0.231,0.498,0.431,0.504,0.498,0.554,0.547,0.486454545
ZNF276,0.529,0.451,0.568,0.512,0.424,0.488,0.502,0.462,0.491,0.526,0.506,0.496272727
ZNF469,0.6,0.302,0.64,0.65,0.857,0.438,0.429,0.497,0.5,0.607,0.642,0.560181818
