Sample_ID,Filename,Species,Dev_stage,Sex,Age,Phenotype,Collected_by,Collection_date,Biomaterial_provider,Geographic_location,Ecotype,Body_mass,Testes_mass,Bird_ID,Gonadosomatic_index,Tissue,Tissue_complete,Sample_Type,Concentration,Volume,Flow_cell,Seq_provider,Type,Lib_prep,Lib_kit,Seq_prep,Seq_kit,Lib_size,RIN
s1312_I_ADR_01,s1312_I_ADR_01_R1.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/11/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,169.1,2.9,1312,1.71,Adr,Adrenal glands,Total RNA,52,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),65569438,9.2
s1312_I_PIT_01,s1312_I_PIT_01_R1.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/11/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,169.1,2.9,1312,1.71,Pit,Pituitary gland,Total RNA,58.5,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),49600578,NA
s1312_I_PIT_01,s1312_I_PIT_01_R2.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/11/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,169.1,2.9,1312,1.71,Pit,Pituitary gland,Total RNA,58.5,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),49600578,NA
s1319_F_BLO_01,s1319_F_BLO_01_R1.gz,Calidris pugnax,Adult,Male,4,Faeder,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Blo,Blood,Total RNA,183.3,25,HN35WDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),71054716,6.3
s1319_F_BLO_01,s1319_F_BLO_01_R2.gz,Calidris pugnax,Adult,Male,4,Faeder,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Blo,Blood,Total RNA,183.3,25,HN35WDSX4,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),71054716,6.3
s1319_F_GON_01,s1319_F_GON_01_R1.gz,Calidris pugnax,Adult,Male,4,Faeder,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Gon,Male gonads (testes),Total RNA,59,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),52598055,NA
s1319_F_GON_01,s1319_F_GON_01_R2.gz,Calidris pugnax,Adult,Male,4,Faeder,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Gon,Male gonads (testes),Total RNA,59,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),52598055,NA
s1319_F_PIT_01,s1319_F_PIT_01_R1.gz,Calidris pugnax,Adult,Male,4,Faeder,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Pit,Pituitary gland,Total RNA,19,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),61427563,NA
s1319_F_PIT_01,s1319_F_PIT_01_R2.gz,Calidris pugnax,Adult,Male,4,Faeder,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Pit,Pituitary gland,Total RNA,19,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),61427563,NA
s1321_S_ADR_02,s1321_S_ADR_02_R1.gz,Calidris pugnax,Adult,Male,3,Satellite,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Adr,Adrenal glands,Total RNA,55.9,40,HN35CDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),59895433,8.2
s1321_S_ADR_02,s1321_S_ADR_02_R2.gz,Calidris pugnax,Adult,Male,3,Satellite,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Adr,Adrenal glands,Total RNA,55.9,40,HN35CDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),59895433,8.2
s1321_S_GON_01,s1321_S_GON_01_R1.gz,Calidris pugnax,Adult,Male,3,Satellite,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Gon,Male gonads (testes),Total RNA,56,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),70488856,7.1
s1321_S_GON_01,s1321_S_GON_01_R2.gz,Calidris pugnax,Adult,Male,3,Satellite,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Gon,Male gonads (testes),Total RNA,56,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),70488856,7.1
s1321_S_LIV_01,s1321_S_LIV_01_R1.gz,Calidris pugnax,Adult,Male,3,Satellite,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Liv,Liver,Total RNA,47,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),68609583,7.6
s1321_S_LIV_01,s1321_S_LIV_01_R2.gz,Calidris pugnax,Adult,Male,3,Satellite,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Liv,Liver,Total RNA,47,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),68609583,7.6
s1321_S_PIT_01,s1321_S_PIT_01_R1.gz,Calidris pugnax,Adult,Male,3,Satellite,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Pit,Pituitary gland,Total RNA,65.5,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),58689448,9.2
s1321_S_PIT_01,s1321_S_PIT_01_R2.gz,Calidris pugnax,Adult,Male,3,Satellite,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Pit,Pituitary gland,Total RNA,65.5,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),58689448,9.2
s1323_I_BLO_01,s1323_I_BLO_01_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Blo,Blood,Total RNA,149,25,HN35WDSX5,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),64259318,5.8
s1323_I_BLO_01,s1323_I_BLO_01_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Blo,Blood,Total RNA,149,25,HN35WDSX6,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),64259318,5.8
s1323_I_GON_01,s1323_I_GON_01_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Gon,Male gonads (testes),Total RNA,62,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),63536381,9.5
s1323_I_GON_01,s1323_I_GON_01_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Gon,Male gonads (testes),Total RNA,62,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),63536381,9.5
s1323_I_HYP_02,s1323_I_HYP_02_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Hyp,Hypothalamus,Total RNA,113,10,H2GFCDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),68458804,8.2
s1323_I_HYP_02,s1323_I_HYP_02_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Hyp,Hypothalamus,Total RNA,113,10,H2GFCDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),68458804,8.2
s1323_I_LS_02,s1323_I_LS_02_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,LS,Lateral septum,Total RNA,103,10,H2GFHDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),51079878,7.6
s1323_I_LS_02,s1323_I_LS_02_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,LS,Lateral septum,Total RNA,103,10,H2GFHDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),51079878,7.6
s1323_I_NC_02,s1323_I_NC_02_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,NC,Caudal nidopallium,Total RNA,94,10,H2GFHDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),46210209,8
s1323_I_NC_02,s1323_I_NC_02_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,NC,Caudal nidopallium,Total RNA,94,10,H2GFHDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),46210209,8
s1323_I_PIT_01,s1323_I_PIT_01_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Pit,Pituitary gland,Total RNA,13,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),39331703,NA
s1323_I_PIT_01,s1323_I_PIT_01_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Pit,Pituitary gland,Total RNA,13,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),39331703,NA
s1323_I_POA_02,s1323_I_POA_02_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,POM,Medial preoptic area,Total RNA,96,10,H2GFHDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),50575589,8
s1323_I_POA_02,s1323_I_POA_02_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,POM,Medial preoptic area,Total RNA,96,10,H2GFHDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),50575589,8
s1323_I_RAP_03,s1323_I_RAP_03_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Rap,Raphe,Total RNA,95,10,H2GFCDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),54359809,8.2
s1323_I_RAP_03,s1323_I_RAP_03_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Rap,Raphe,Total RNA,95,10,H2GFCDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),54359809,8.2
s1323_I_TNA_03,s1323_I_TNA_03_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,A+TnA,Nucleus taeniae of the amygdala and arcopallium,Total RNA,90,10,H2GFCDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),61018082,7.6
