Entrez_ID,Gene_Symbol,Gene_Description,Synonyms,Gene_type,Scientific_name,Common_name,Tax_ID,Transcripts,Genomic_coordinates,Orientation,Proteins,Ensembl_Gene_ID
106886420,ABCD3,ATP binding cassette subfamily D member 3,,protein-coding,Calidris pugnax,ruff,198806,XM_014939364.1,NW_015090812.1: 17574932-17603763,plus,XP_014794850.1,ENSCPUG00000003798
106888027,ABCD4,ATP binding cassette subfamily D member 4,,protein-coding,Calidris pugnax,ruff,198806,"XM_014941979.1,XM_014941980.1,XM_014941982.1",NW_015090839.1: 5746662-5761749,plus,"XP_014797465.1,XP_014797466.1,XP_014797468.1",ENSCPUG00000001929
106892610,ABCE1,ATP binding cassette subfamily E member 1,,protein-coding,Calidris pugnax,ruff,198806,XM_014949892.1,NW_015090920.1: 5010488-5027838,minus,XP_014805378.1,ENSCPUG00000012236
106897399,ABCF2,ATP binding cassette subfamily F member 2,,protein-coding,Calidris pugnax,ruff,198806,XM_014958001.1,NW_015091104.1: 101363-111709,plus,XP_014813487.1,ENSCPUG00000007097
106886687,ABCF3,ATP binding cassette subfamily F member 3,,protein-coding,Calidris pugnax,ruff,198806,XM_014939832.1,NW_015090822.1: 193262-204774,plus,XP_014795318.1,ENSCPUG00000013101
106885751,ABCG1,ATP binding cassette subfamily G member 1,,protein-coding,Calidris pugnax,ruff,198806,XM_014938199.1,NW_015090805.1: 3469802-3540294,minus,XP_014793685.1,ENSCPUG00000012275
106899613,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),,protein-coding,Calidris pugnax,ruff,198806,XM_014961495.1,NW_015091411.1: 156208-179840,minus,XP_014816981.1,ENSCPUG00000001214
106886778,ABCG4,ATP binding cassette subfamily G member 4,,protein-coding,Calidris pugnax,ruff,198806,"XM_014939984.1,XM_014939985.1,XM_014939987.1",NW_015090823.1: 313167-324125,plus,"XP_014795470.1,XP_014795471.1,XP_014795473.1",ENSCPUG00000013998
106893374,ABCG5,ATP binding cassette subfamily G member 5,,protein-coding,Calidris pugnax,ruff,198806,XM_014951299.1,NW_015090922.1: 10822122-10838320,minus,XP_014806785.1,ENSCPUG00000001269
106893001,ABCG8,ATP binding cassette subfamily G member 8,,protein-coding,Calidris pugnax,ruff,198806,XM_014950593.1,NW_015090922.1: 10838779-10852468,plus,XP_014806079.1,ENSCPUG00000001292
106890979,ABHD10,"abhydrolase domain containing 10, depalmitoylase",,protein-coding,Calidris pugnax,ruff,198806,XM_014947128.1,NW_015090885.1: 9998866-10006491,minus,XP_014802614.1,ENSCPUG00000004216
106894407,ABHD11,abhydrolase domain containing 11,,protein-coding,Calidris pugnax,ruff,198806,XM_014953041.1,NW_015090977.1: 9282548-9284805,plus,XP_014808527.1,
106900384,ABHD12,"abhydrolase domain containing 12, lysophospholipase",,protein-coding,Calidris pugnax,ruff,198806,XM_014962420.1,NW_015092359.1: 4208984-4230586,minus,XP_014817906.1,
106884974,ABHD12B,abhydrolase domain containing 12B,,protein-coding,Calidris pugnax,ruff,198806,XM_014936771.1,NW_015090795.1: 3117178-3125605,plus,XP_014792257.1,
106889307,ABHD13,abhydrolase domain containing 13,,protein-coding,Calidris pugnax,ruff,198806,"XM_014944201.1,XM_014944202.1,XM_014944203.1,XM_014944204.1,XM_014944206.1,XM_014944207.1,XM_014944208.1",NW_015090859.1: 4125956-4135461,minus,"XP_014799687.1,XP_014799688.1,XP_014799689.1,XP_014799690.1,XP_014799692.1,XP_014799693.1,XP_014799694.1",
106894376,ABHD15,abhydrolase domain containing 15,,protein-coding,Calidris pugnax,ruff,198806,XM_014953007.1,NW_015090977.1: 2030593-2033355,plus,XP_014808493.1,
106897368,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase",,protein-coding,Calidris pugnax,ruff,198806,XM_014957958.1,NW_015091101.1: 556752-565925,plus,XP_014813444.1,ENSCPUG00000006952
106897698,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase",,protein-coding,Calidris pugnax,ruff,198806,"XM_014958496.1,XM_014958497.1",NW_015091129.1: 810999-829258,minus,"XP_014813982.1,XP_014813983.1",ENSCPUG00000006196
106889532,ABHD17C,"abhydrolase domain containing 17C, depalmitoylase",,protein-coding,Calidris pugnax,ruff,198806,XM_014944646.1,NW_015090862.1: 11583511-11613264,minus,XP_014800132.1,ENSCPUG00000018716
106892569,ABHD18,abhydrolase domain containing 18,,protein-coding,Calidris pugnax,ruff,198806,"XM_014949837.1,XM_014949838.1,XM_014949839.1,XM_014949840.1,XM_014949841.1",NW_015090920.1: 11474834-11498076,minus,"XP_014805323.1,XP_014805324.1,XP_014805325.1,XP_014805326.1,XP_014805327.1",ENSCPUG00000012340
106889443,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase",,protein-coding,Calidris pugnax,ruff,198806,"XM_014944438.1,XM_014944439.1,XM_014944440.1,XM_014944441.1",NW_015090862.1: 12387570-12422553,minus,"XP_014799924.1,XP_014799925.1,XP_014799926.1,XP_014799927.1",ENSCPUG00000018739
106886018,ABHD3,"abhydrolase domain containing 3, phospholipase",,protein-coding,Calidris pugnax,ruff,198806,"XM_014938619.1,XM_014938621.1",NW_015090810.1: 22643618-22670037,minus,"XP_014794105.1,XP_014794107.1",ENSCPUG00000008918
106885566,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",,protein-coding,Calidris pugnax,ruff,198806,XM_014937851.1,NW_015090803.1: 1652924-1683720,plus,XP_014793337.1,ENSCPUG00000010210
106888785,ABHD6,"abhydrolase domain containing 6, acylglycerol lipase",,protein-coding,Calidris pugnax,ruff,198806,"XM_014943263.1,XM_014943264.1,XM_014943265.1",NW_015090851.1: 2335906-2358970,plus,"XP_014798749.1,XP_014798750.1,XP_014798751.1",ENSCPUG00000016928
106900126,ABHD8,abhydrolase domain containing 8,,protein-coding,Calidris pugnax,ruff,198806,XM_014962110.1,NW_015091892.1: 68249-78672,plus,XP_014817596.1,ENSCPUG00000001362
106900076,ABI1,abl interactor 1,,protein-coding,Calidris pugnax,ruff,198806,"XM_014962046.1,XM_014962047.1,XM_014962048.1,XM_014962049.1,XM_014962050.1,XM_014962051.1,XM_014962052.1,XM_014962053.1,XM_014962054.1,XM_014962055.1,XM_014962056.1,XM_014962057.1,XM_014962058.1",NW_015091797.1: 102377-183404,plus,"XP_014817532.1,XP_014817533.1,XP_014817534.1,XP_014817535.1,XP_014817536.1,XP_014817537.1,XP_014817538.1,XP_014817539.1,XP_014817540.1,XP_014817541.1,XP_014817542.1,XP_014817543.1,XP_014817544.1",ENSCPUG00000000809
106895158,ABI2,abl interactor 2,,protein-coding,Calidris pugnax,ruff,198806,"XM_014954313.1,XM_014954315.1,XM_014954316.1,XM_014954317.1,XM_014954318.1,XM_014954319.1,XM_014954320.1,XM_014954321.1,XM_014954322.1,XM_014954323.1,XM_014954324.1",NW_015090990.1: 13284757-13350463,plus,"XP_014809799.1,XP_014809801.1,XP_014809802.1,XP_014809803.1,XP_014809804.1,XP_014809805.1,XP_014809806.1,XP_014809807.1,XP_014809808.1,XP_014809809.1,XP_014809810.1",ENSCPUG00000006112
106897924,ABI3,ABI family member 3,,protein-coding,Calidris pugnax,ruff,198806,XM_014958921.1,NW_015091148.1: 597840-602313,minus,XP_014814407.1,
106891061,ABI3BP,ABI family member 3 binding protein,,protein-coding,Calidris pugnax,ruff,198806,"XM_014947274.1,XM_014947275.1,XM_014947276.1,XM_014947277.1,XM_014947278.1,XM_014947279.1,XM_014947280.1,XM_014947281.1,XM_014947282.1,XM_014947284.1,XM_014947285.1,XM_014947286.1,XM_014947287.1,XM_014947288.1,XM_014947289.1,XM_014947290.1,XM_014947291.1,XM_014947292.1,XM_014947293.1,XM_014947294.1,XM_014947295.1,XM_014947296.1,XM_014947297.1,XM_014947298.1,XM_014947300.1",NW_015090885.1: 13672115-13824299,plus,"XP_014802760.1,XP_014802761.1,XP_014802762.1,XP_014802763.1,XP_014802764.1,XP_014802765.1,XP_014802766.1,XP_014802767.1,XP_014802768.1,XP_014802770.1,XP_014802771.1,XP_014802772.1,XP_014802773.1,XP_014802774.1,XP_014802775.1,XP_014802776.1,XP_014802777.1,XP_014802778.1,XP_014802779.1,XP_014802780.1,XP_014802781.1,XP_014802782.1,XP_014802783.1,XP_014802784.1,XP_014802786.1",
106885989,ABITRAM,actin binding transcription modulator,FAM206A,protein-coding,Calidris pugnax,ruff,198806,"XM_014938551.1,XM_014938552.1",NW_015090810.1: 8088746-8102396,minus,"XP_014794037.1,XP_014794038.1",ENSCPUG00000005884
106888611,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",,protein-coding,Calidris pugnax,ruff,198806,XM_014942958.1,NW_015090846.1: 1081238-1199589,plus,XP_014798444.1,
106888948,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",,protein-coding,Calidris pugnax,ruff,198806,"XM_014943543.1,XM_014943544.1",NW_015090852.1: 1302998-1362670,minus,"XP_014799029.1,XP_014799030.1",ENSCPUG00000017291
106897660,ABLIM1,actin binding LIM protein 1,,protein-coding,Calidris pugnax,ruff,198806,"XM_014958428.1,XM_014958437.1,XM_014958443.1,XM_014958447.1,XM_014958452.1,XM_014958460.1,XM_014958467.1,XM_014958477.1,XM_014958486.1,XM_014958495.1,XM_014958503.1,XM_014958511.1",NW_015090781.1: 8687136-8884149,minus,"XP_014813914.1,XP_014813923.1,XP_014813929.1,XP_014813933.1,XP_014813938.1,XP_014813946.1,XP_014813953.1,XP_014813963.1,XP_014813972.1,XP_014813981.1,XP_014813989.1,XP_014813997.1",ENSCPUG00000003362
106902949,ABLIM2,actin binding LIM protein family member 2,,protein-coding,Calidris pugnax,ruff,198806,"XM_014935953.1,XM_014935954.1,XM_014935955.1,XM_014935956.1,XM_014966834.1,XM_014966835.1,XM_014966836.1,XM_014966837.1,XM_014966838.1,XM_014966839.1",NW_015090793.1: 3783240-3893712,minus,"XP_014791439.1,XP_014791440.1,XP_014791441.1,XP_014791442.1,XP_014822320.1,XP_014822321.1,XP_014822322.1,XP_014822323.1,XP_014822324.1,XP_014822325.1",ENSCPUG00000003125
106891621,ABLIM3,actin binding LIM protein family member 3,,protein-coding,Calidris pugnax,ruff,198806,"XM_014948294.1,XM_014948295.1,XM_014948296.1,XM_014948297.1,XM_014948298.1",NW_015090893.1: 6968719-7024136,minus,"XP_014803780.1,XP_014803781.1,XP_014803782.1,XP_014803783.1,XP_014803784.1",ENSCPUG00000007806
106894554,ABR,ABR activator of RhoGEF and GTPase,,protein-coding,Calidris pugnax,ruff,198806,"XM_014953273.1,XM_014953274.1,XM_014953275.1",NW_015090977.1: 1627736-1655014,minus,"XP_014808759.1,XP_014808760.1,XP_014808761.1",ENSCPUG00000019901
106902148,ABRA,actin binding Rho activating protein,,protein-coding,Calidris pugnax,ruff,198806,XM_014965347.1,NW_015094509.1: 13167122-13174139,minus,XP_014820833.1,ENSCPUG00000007101
106886530,ABRACL,ABRA C-terminal like,,protein-coding,Calidris pugnax,ruff,198806,"XM_014939554.1,XM_014939555.1,XM_014939556.1",NW_015090813.1: 393782-399025,plus,"XP_014795040.1,XP_014795041.1,XP_014795042.1",ENSCPUG00000004314
106892690,ABRAXAS1,"abraxas 1, BRCA1 A complex subunit",FAM175A,protein-coding,Calidris pugnax,ruff,198806,XM_014950074.1,NW_015090920.1: 1253367-1261141,minus,XP_014805560.1,ENSCPUG00000011998
106889886,ABRAXAS2,"abraxas 2, BRISC complex subunit",FAM175B,protein-coding,Calidris pugnax,ruff,198806,XM_014945383.1,NW_015090865.1: 4192825-4210680,plus,XP_014800869.1,ENSCPUG00000019502
106888764,ABTB1,ankyrin repeat and BTB domain containing 1,,protein-coding,Calidris pugnax,ruff,198806,XM_014943227.1,NW_015090851.1: 3283730-3312591,minus,XP_014798713.1,ENSCPUG00000016988
106891993,ABTB2,ankyrin repeat and BTB domain containing 2,,protein-coding,Calidris pugnax,ruff,198806,XM_014948849.1,NW_015090901.1: 1758621-1901861,minus,XP_014804335.1,ENSCPUG00000001605
106901466,ABTB3,ankyrin repeat and BTB domain containing 3,BTBD11,protein-coding,Calidris pugnax,ruff,198806,"XM_014964253.1,XM_014964254.1",NW_015094506.1: 861938-1040783,plus,"XP_014819739.1,XP_014819740.1",
106889740,ACAA1,acetyl-CoA acyltransferase 1,,protein-coding,Calidris pugnax,ruff,198806,"XM_014945112.1,XM_014945113.1",NW_015090864.1: 4082585-4094233,minus,"XP_014800598.1,XP_014800599.1",ENSCPUG00000019130
106899115,ACAA2,acetyl-CoA acyltransferase 2,,protein-coding,Calidris pugnax,ruff,198806,XM_014960792.1,NW_015091300.1: 1142970-1166438,plus,XP_014816278.1,ENSCPUG00000011380
106898087,ACACA,acetyl-CoA carboxylase alpha,,protein-coding,Calidris pugnax,ruff,198806,"XM_014959208.1,XM_014959280.1,XM_014959356.1,XM_014959434.1,XM_014959519.1",NW_015090764.1: 1405759-1544095,minus,"XP_014814694.1,XP_014814766.1,XP_014814842.1,XP_014814920.1,XP_014815005.1",ENSCPUG00000011727
106886808,ACACB,acetyl-CoA carboxylase beta,,protein-coding,Calidris pugnax,ruff,198806,XM_014940034.1,NW_015090824.1: 329647-374058,minus,XP_014795520.1,
106901383,ACAD10,acyl-CoA dehydrogenase family member 10,,protein-coding,Calidris pugnax,ruff,198806,"XM_014964084.1,XM_014964092.1,XM_014964102.1,XM_014964111.1,XM_014964122.1",NW_015090783.1: 634216-649458,minus,"XP_014819570.1,XP_014819578.1,XP_014819588.1,XP_014819597.1,XP_014819608.1",ENSCPUG00000006862
106896742,ACAD11,acyl-CoA dehydrogenase family member 11,,protein-coding,Calidris pugnax,ruff,198806,XM_014956944.1,NW_015091067.1: 21550-55605,minus,XP_014812430.1,ENSCPUG00000004909
106887826,ACAD8,acyl-CoA dehydrogenase family member 8,,protein-coding,Calidris pugnax,ruff,198806,XM_014941585.1,NW_015090837.1: 289560-297643,minus,XP_014797071.1,
106899510,ACAD9,acyl-CoA dehydrogenase family member 9,,protein-coding,Calidris pugnax,ruff,198806,XM_014961379.1,NW_015091382.1: 197925-221701,minus,XP_014816865.1,ENSCPUG00000018173
106898406,ACADL,acyl-CoA dehydrogenase long chain,,protein-coding,Calidris pugnax,ruff,198806,XM_014959640.1,NW_015091198.1: 654842-671629,minus,XP_014815126.1,ENSCPUG00000010318
106899341,ACADM,acyl-CoA dehydrogenase medium chain,,protein-coding,Calidris pugnax,ruff,198806,XM_014961128.1,NW_015091353.1: 608-10483,plus,XP_014816614.1,
106901950,ACADS,acyl-CoA dehydrogenase short chain,,protein-coding,Calidris pugnax,ruff,198806,XM_014965055.1,NW_015090783.1: 8711009-8718565,minus,XP_014820541.1,ENSCPUG00000010015
106889866,ACADSB,acyl-CoA dehydrogenase short/branched chain,,protein-coding,Calidris pugnax,ruff,198806,XM_014945317.1,NW_015090865.1: 3321348-3333428,plus,XP_014800803.1,ENSCPUG00000019487
106889338,ACAN,aggrecan,,protein-coding,Calidris pugnax,ruff,198806,XM_014944258.1,NW_015090862.1: 12457679-12508910,minus,XP_014799744.1,ENSCPUG00000018742
106890258,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",,protein-coding,Calidris pugnax,ruff,198806,XM_014945938.1,NW_015090872.1: 8033491-8101802,minus,XP_014801424.1,ENSCPUG00000017211
106887748,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",,protein-coding,Calidris pugnax,ruff,198806,XM_014941462.1,NW_015090833.1: 410631-525518,plus,XP_014796948.1,ENSCPUG00000010389
106902498,ACAT1,acetyl-CoA acetyltransferase 1,,protein-coding,Calidris pugnax,ruff,198806,XM_014966015.1,NW_015094510.1: 28594406-28609412,minus,XP_014821501.1,ENSCPUG00000000008
106893165,ACAT2,acetyl-CoA acetyltransferase 2,,protein-coding,Calidris pugnax,ruff,198806,XM_014950892.1,NW_015090922.1: 33153733-33162417,minus,XP_014806378.1,ENSCPUG00000013689
106893299,ACBD3,acyl-CoA binding domain containing 3,,protein-coding,Calidris pugnax,ruff,198806,XM_014951157.1,NW_015090922.1: 1923956-1944726,plus,XP_014806643.1,ENSCPUG00000017884
106900080,ACBD5,acyl-CoA binding domain containing 5,,protein-coding,Calidris pugnax,ruff,198806,"XM_014962062.1,XM_014962063.1",NW_015091797.1: 52806-81887,minus,"XP_014817548.1,XP_014817549.1",ENSCPUG00000000779
106888810,ACBD6,acyl-CoA binding domain containing 6,,protein-coding,Calidris pugnax,ruff,198806,"XM_014943313.1,XR_001412207.1",NW_015090852.1: 1741555-1834988,minus,XP_014798799.1,
106894336,ACBD7,acyl-CoA binding domain containing 7,,protein-coding,Calidris pugnax,ruff,198806,XM_014952949.1,NW_015090976.1: 384421-394150,plus,XP_014808435.1,ENSCPUG00000019747
106892838,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),,protein-coding,Calidris pugnax,ruff,198806,XM_014950380.1,NW_015090921.1: 103131-127833,plus,XP_014805866.1,ENSCPUG00000012591
106896451,ACE,angiotensin I converting enzyme,,protein-coding,Calidris pugnax,ruff,198806,XM_014956463.1,NW_015091045.1: 634255-654273,minus,XP_014811949.1,ENSCPUG00000014198
106898778,ACE2,angiotensin converting enzyme 2,,protein-coding,Calidris pugnax,ruff,198806,XM_014960219.1,NW_015091257.1: 12572032-12601016,minus,XP_014815705.1,ENSCPUG00000007446
106899732,ACER1,alkaline ceramidase 1,,protein-coding,Calidris pugnax,ruff,198806,XM_014961628.1,NW_015091459.1: 208216-219639,minus,XP_014817114.1,
